onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	interval02	510	1768	510	1292	510	circle
14670	2	random09	2176	896	832	992	612	circle
24258	3	interval02	510	1768	510	1292	510	triangle
32928	4	beat04	612	1836	612	1836	612	circle
42516	-	baseline	-	-	-	-	-	-
48516	5	random07	960	2000	528	592	510	circle
57186	6	beat01	459	1377	459	1377	459	circle
65397	7	random02	864	608	864	1744	510	triangle
74067	8	interval01	459	1819	459	935	459	triangle
82278	9	random04	1054	1071	2125	646	612	triangle
91866	10	interval05	663	1853	663	2125	663	triangle
101913	11	interval01	459	1819	459	935	459	circle
110124	12	interval03	561	1394	561	1972	561	circle
119253	13	interval04	612	1581	612	2091	612	triangle
128841	-	baseline	-	-	-	-	-	-
134841	14	beat03	561	1683	561	1683	561	triangle
143970	15	interval04	612	1581	612	2091	612	circle
153558	16	random10	1408	1216	680	2000	663	triangle
163605	-	baseline	-	-	-	-	-	-
169605	17	interval03	561	1394	561	1972	561	triangle
178734	18	random08	680	2192	656	960	561	triangle
187863	19	random16	748	952	680	1292	459	triangle
196074	20	interval05	663	1853	663	2125	663	circle
206121	21	random05	1071	1088	2244	901	663	circle
216168	22	random01	969	1105	1088	510	459	circle
224379	23	beat05	663	1989	663	1989	663	circle
234426	24	beat01	459	1377	459	1377	459	triangle
242637	25	beat02	510	1530	510	1530	510	triangle
251307	26	beat04	612	1836	612	1836	612	triangle
260895	-	baseline	-	-	-	-	-	-
266895	27	beat05	663	1989	663	1989	663	triangle
276942	28	beat03	561	1683	561	1683	561	circle
286071	-	baseline	-	-	-	-	-	-
292071	29	random13	595	1224	1105	1564	561	circle
301200	30	beat02	510	1530	510	1530	510	circle
