onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	interval05	663	1700	663	2278	663	circle
16047	2	interval01	459	1734	459	1020	459	triangle
24258	3	beat03	561	1683	561	1683	561	circle
33387	4	interval04	612	1887	612	1785	612	triangle
42975	5	beat05	663	1989	663	1989	663	triangle
53022	6	interval04	612	1887	612	1785	612	circle
62610	7	beat05	663	1989	663	1989	663	circle
72657	8	interval01	459	1734	459	1020	459	triangle
80868	9	beat01	459	1377	459	1377	459	triangle
89079	10	beat02	510	1530	510	1530	510	circle
97749	-	baseline	-	-	-	-	-	-
103749	11	beat05	663	1989	663	1989	663	circle
113796	12	beat04	612	1836	612	1836	612	triangle
123384	13	interval02	510	1377	510	1683	510	triangle
132054	14	beat02	510	1530	510	1530	510	triangle
140724	15	interval03	561	1717	561	1649	561	triangle
149853	-	baseline	-	-	-	-	-	-
155853	16	interval01	459	1734	459	1020	459	triangle
164064	17	beat04	612	1836	612	1836	612	circle
173652	18	interval02	510	1377	510	1683	510	circle
182322	19	beat02	510	1530	510	1530	510	circle
190992	-	baseline	-	-	-	-	-	-
196992	20	beat03	561	1683	561	1683	561	triangle
206121	21	interval05	663	1700	663	2278	663	circle
216168	-	baseline	-	-	-	-	-	-
222168	22	interval05	663	1700	663	2278	663	triangle
232215	23	beat04	612	1836	612	1836	612	circle
241803	24	beat01	459	1377	459	1377	459	triangle
250014	25	interval03	561	1717	561	1649	561	circle
259143	26	interval02	510	1377	510	1683	510	circle
267813	27	beat01	459	1377	459	1377	459	triangle
276024	-	baseline	-	-	-	-	-	-
282024	28	interval04	612	1887	612	1785	612	circle
291612	29	interval03	561	1717	561	1649	561	circle
300741	30	beat03	561	1683	561	1683	561	circle
