onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	interval04	612	1683	612	1989	612	triangle
12100	2	interval05	663	1513	663	2465	663	circle
21651	3	beat04	612	1836	612	1836	612	triangle
30743	4	interval04	612	1683	612	1989	612	circle
39835	5	beat05	663	1989	663	1989	663	circle
49386	6	interval01	459	1904	459	850	459	triangle
57101	-	baseline	-	-	-	-	-	-
63101	7	beat03	561	1683	561	1683	561	triangle
71734	8	beat05	663	1989	663	1989	663	triangle
81285	9	interval04	612	1683	612	1989	612	triangle
90377	10	beat03	561	1683	561	1683	561	triangle
99010	11	interval01	459	1904	459	850	459	circle
106725	12	beat02	510	1530	510	1530	510	triangle
114899	13	interval05	663	1513	663	2465	663	circle
124450	-	baseline	-	-	-	-	-	-
130450	14	beat01	459	1377	459	1377	459	triangle
138165	15	beat04	612	1836	612	1836	612	triangle
147257	16	interval02	510	1377	510	1683	510	circle
155431	17	beat05	663	1989	663	1989	663	circle
164982	18	interval03	561	1938	561	1428	561	triangle
173615	19	beat02	510	1530	510	1530	510	circle
181789	20	beat04	612	1836	612	1836	612	circle
190881	21	interval03	561	1938	561	1428	561	triangle
199514	22	beat03	561	1683	561	1683	561	circle
208147	-	baseline	-	-	-	-	-	-
214147	23	interval02	510	1377	510	1683	510	triangle
222321	24	interval03	561	1938	561	1428	561	circle
230954	-	baseline	-	-	-	-	-	-
236954	25	interval02	510	1377	510	1683	510	circle
245128	26	interval05	663	1513	663	2465	663	triangle
254679	27	beat02	510	1530	510	1530	510	circle
262853	-	baseline	-	-	-	-	-	-
268853	28	interval01	459	1904	459	850	459	circle
276568	29	beat01	459	1377	459	1377	459	circle
284283	30	beat01	459	1377	459	1377	459	circle
