onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval01	459	1513	459	1241
10264	-	baseline	-	-	-	-
16264	2	interval03	561	1853	561	1513
24336	3	beat03	561	1683	561	1683
32408	-	baseline	-	-	-	-
38408	4	interval01	459	1513	459	1241
45664	5	beat01	459	1377	459	1377
52920	6	beat04	612	1836	612	1836
61400	7	interval05	663	1853	663	2125
70288	-	baseline	-	-	-	-
76288	8	beat01	459	1377	459	1377
83544	9	interval03	561	1853	561	1513
91616	10	beat02	510	1530	510	1530
99280	11	interval02	510	1819	510	1241
106944	-	baseline	-	-	-	-
112944	12	beat03	561	1683	561	1683
121016	13	beat04	612	1836	612	1836
129496	14	beat02	510	1530	510	1530
137160	-	baseline	-	-	-	-
143160	15	beat04	612	1836	612	1836
151640	16	interval02	510	1819	510	1241
159304	17	interval04	612	1377	612	2295
167784	18	interval01	459	1513	459	1241
175040	19	interval05	663	1853	663	2125
183928	20	beat03	561	1683	561	1683
192000	21	interval02	510	1819	510	1241
199664	22	beat02	510	1530	510	1530
207328	23	beat05	663	1989	663	1989
216216	24	interval04	612	1377	612	2295
224696	25	beat01	459	1377	459	1377
231952	26	beat05	663	1989	663	1989
240840	27	interval04	612	1377	612	2295
249320	28	interval05	663	1853	663	2125
258208	29	beat05	663	1989	663	1989
267096	30	interval03	561	1853	561	1513
