onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
12000	1	interval05	663	1887	663	2091	530
21914	2	beat03	561	1683	561	1683	572
31054	3	beat03	561	1683	561	1683	628
40250	4	beat04	612	1836	612	1836	490
49716	5	beat02	510	1530	510	1530	449
58325	6	beat01	459	1377	459	1377	450
66527	-	baseline	-	-	-	-	-
72527	7	beat05	663	1989	663	1989	530
82441	8	interval04	612	1513	612	2159	734
92151	9	interval01	459	1445	459	1309	514
100417	10	beat02	510	1530	510	1530	408
108985	-	baseline	-	-	-	-	-
114985	11	interval02	510	1853	510	1207	449
123594	12	beat02	510	1530	510	1530	500
132254	-	baseline	-	-	-	-	-
138254	13	interval04	612	1513	612	2159	685
147915	14	interval01	459	1445	459	1309	551
156218	15	interval05	663	1887	663	2091	676
166278	16	interval03	561	1717	561	1649	494
175340	17	beat01	459	1377	459	1377	551
183643	18	interval04	612	1513	612	2159	490
193109	19	beat05	663	1989	663	1989	676
203169	20	beat05	663	1989	663	1989	650
213203	21	interval01	459	1445	459	1309	450
221405	22	interval02	510	1853	510	1207	408
229973	23	beat01	459	1377	459	1377	514
238239	24	interval03	561	1717	561	1649	572
247379	-	baseline	-	-	-	-	-
253379	25	interval05	663	1887	663	2091	650
263413	26	beat04	612	1836	612	1836	685
273074	27	interval02	510	1853	510	1207	500
281734	28	beat04	612	1836	612	1836	734
291444	-	baseline	-	-	-	-	-
297444	29	beat03	561	1683	561	1683	494
306506	30	interval03	561	1717	561	1649	628
