onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	beat04	612	1836	612	1836	612	triangle
12100	2	beat01	459	1377	459	1377	459	triangle
19815	3	interval01	459	1904	459	850	459	circle
27530	4	interval04	612	1683	612	1989	612	triangle
36622	5	interval04	612	1683	612	1989	612	circle
45714	6	beat05	663	1989	663	1989	663	circle
55265	-	baseline	-	-	-	-	-	-
61265	7	beat02	510	1530	510	1530	510	circle
69439	8	interval02	510	1377	510	1683	510	triangle
77613	9	interval05	663	1513	663	2465	663	circle
87164	10	interval02	510	1377	510	1683	510	circle
95338	11	beat03	561	1683	561	1683	561	triangle
103971	12	beat04	612	1836	612	1836	612	triangle
113063	13	beat05	663	1989	663	1989	663	triangle
122614	14	interval02	510	1377	510	1683	510	circle
130788	15	interval01	459	1904	459	850	459	circle
138503	16	interval04	612	1683	612	1989	612	triangle
147595	17	beat01	459	1377	459	1377	459	circle
155310	-	baseline	-	-	-	-	-	-
161310	18	beat03	561	1683	561	1683	561	circle
169943	19	beat02	510	1530	510	1530	510	triangle
178117	20	interval03	561	1938	561	1428	561	circle
186750	-	baseline	-	-	-	-	-	-
192750	21	beat02	510	1530	510	1530	510	circle
200924	22	interval03	561	1938	561	1428	561	circle
209557	-	baseline	-	-	-	-	-	-
215557	23	beat01	459	1377	459	1377	459	circle
223272	24	beat04	612	1836	612	1836	612	circle
232364	25	beat03	561	1683	561	1683	561	circle
240997	26	interval01	459	1904	459	850	459	triangle
248712	-	baseline	-	-	-	-	-	-
254712	27	beat05	663	1989	663	1989	663	triangle
264263	28	interval03	561	1938	561	1428	561	triangle
272896	29	interval05	663	1513	663	2465	663	triangle
282447	30	interval05	663	1513	663	2465	663	triangle
