onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval02	510	1853	510	1207	571
11243	-	baseline	-	-	-	-	-
17243	2	beat03	561	1683	561	1683	572
25887	3	interval05	663	1887	663	2091	650
35425	-	baseline	-	-	-	-	-
41425	4	interval01	459	1445	459	1309	450
49131	5	beat02	510	1530	510	1530	612
57407	-	baseline	-	-	-	-	-
63407	6	interval01	459	1445	459	1309	551
71214	7	interval05	663	1887	663	2091	583
80685	-	baseline	-	-	-	-	-
86685	8	interval03	561	1717	561	1649	572
95329	9	beat04	612	1836	612	1836	539
104348	10	beat02	510	1530	510	1530	571
112583	11	beat02	510	1530	510	1530	408
120655	12	interval02	510	1853	510	1207	408
128727	13	interval03	561	1717	561	1649	628
137427	14	beat03	561	1683	561	1683	494
145993	15	beat04	612	1836	612	1836	624
155097	16	interval04	612	1513	612	2159	734
164311	17	interval04	612	1513	612	2159	539
173330	18	interval04	612	1513	612	2159	624
182434	-	baseline	-	-	-	-	-
188434	19	interval01	459	1445	459	1309	367
196057	20	beat03	561	1683	561	1683	628
204757	21	beat01	459	1377	459	1377	367
212380	22	beat01	459	1377	459	1377	551
220187	23	beat01	459	1377	459	1377	450
227893	24	beat04	612	1836	612	1836	734
237107	25	beat05	663	1989	663	1989	530
246525	26	interval05	663	1887	663	2091	530
255943	27	interval03	561	1717	561	1649	494
264509	28	beat05	663	1989	663	1989	583
273980	29	beat05	663	1989	663	1989	650
283518	30	interval02	510	1853	510	1207	612
