onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval02	496	1680	496	1054	436
11154	2	interval06	672	1921	672	1840	685
20928	-	baseline	-	-	-	-	-
26928	3	interval01	459	1700	459	2193	404
36127	4	beat04	592	1776	592	1776	521
45368	5	beat06	672	2016	672	2016	806
55534	6	beat04	592	1776	592	1776	710
64964	7	beat03	544	1632	544	1632	609
73909	8	interval04	592	1870	592	2193	710
83850	-	baseline	-	-	-	-	-
89850	9	interval01	459	1700	459	2193	514
99159	10	beat05	629	1887	629	1887	503
108678	11	interval06	672	1921	672	1840	659
118426	12	interval06	672	1921	672	1840	753
128268	-	baseline	-	-	-	-	-
134268	13	beat02	496	1488	496	1488	486
142706	14	interval05	629	1581	629	1054	503
151086	15	interval05	629	1581	629	1054	616
159579	16	beat02	496	1488	496	1488	556
168087	17	beat03	544	1632	544	1632	653
177076	18	interval05	629	1581	629	1054	554
185507	19	beat03	544	1632	544	1632	555
194398	20	beat05	629	1887	629	1887	642
204056	21	beat03	544	1632	544	1632	479
212871	22	beat04	592	1776	592	1776	474
222065	-	baseline	-	-	-	-	-
228065	23	interval05	629	1581	629	1054	642
236584	24	beat03	544	1632	544	1632	533
245453	25	interval01	459	1700	459	2193	551
254799	26	interval02	496	1680	496	1054	486
262995	27	beat01	459	1377	459	1377	404
271055	-	baseline	-	-	-	-	-
277055	28	interval03	544	1424	544	1840	435
285826	29	interval04	592	1870	592	2193	663
295720	30	beat01	459	1377	459	1377	468
303844	-	baseline	-	-	-	-	-
309844	31	beat06	672	2016	672	2016	659
319863	32	beat01	459	1377	459	1377	367
327886	33	beat04	592	1776	592	1776	663
337269	34	interval01	459	1700	459	2193	468
346532	35	interval05	629	1581	629	1054	755
355164	36	interval06	672	1921	672	1840	538
