onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	interval05	663	1700	663	2278	663	circle
16047	2	interval04	612	1887	612	1785	612	circle
25635	3	beat05	663	1989	663	1989	663	triangle
35682	4	interval03	561	1717	561	1649	561	triangle
44811	5	beat04	612	1836	612	1836	612	circle
54399	-	baseline	-	-	-	-	-	-
60399	6	beat02	510	1530	510	1530	510	circle
69069	7	beat02	510	1530	510	1530	510	triangle
77739	-	baseline	-	-	-	-	-	-
83739	8	beat03	561	1683	561	1683	561	triangle
92868	9	interval04	612	1887	612	1785	612	circle
102456	10	interval02	510	1377	510	1683	510	circle
111126	11	beat01	459	1377	459	1377	459	triangle
119337	12	beat03	561	1683	561	1683	561	circle
128466	13	beat03	561	1683	561	1683	561	triangle
137595	14	interval03	561	1717	561	1649	561	circle
146724	15	interval03	561	1717	561	1649	561	triangle
155853	16	interval01	459	1734	459	1020	459	triangle
164064	-	baseline	-	-	-	-	-	-
170064	17	beat05	663	1989	663	1989	663	circle
180111	18	beat01	459	1377	459	1377	459	triangle
188322	19	interval02	510	1377	510	1683	510	circle
196992	-	baseline	-	-	-	-	-	-
202992	20	interval03	561	1717	561	1649	561	triangle
212121	21	beat03	561	1683	561	1683	561	circle
221250	22	beat04	612	1836	612	1836	612	circle
230838	23	beat04	612	1836	612	1836	612	triangle
240426	24	interval05	663	1700	663	2278	663	triangle
250473	25	interval01	459	1734	459	1020	459	triangle
258684	26	beat03	561	1683	561	1683	561	triangle
267813	27	interval03	561	1717	561	1649	561	circle
276942	28	interval04	612	1887	612	1785	612	triangle
286530	-	baseline	-	-	-	-	-	-
292530	29	interval02	510	1377	510	1683	510	triangle
301200	30	beat02	510	1530	510	1530	510	circle
