onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	beat04	612	1836	612	1836	612	triangle
15588	2	beat01	459	1377	459	1377	459	circle
23799	3	beat05	663	1989	663	1989	663	circle
33846	4	interval02	510	1377	510	1683	510	triangle
42516	-	baseline	-	-	-	-	-	-
48516	5	beat01	459	1377	459	1377	459	triangle
56727	6	beat02	510	1530	510	1530	510	triangle
65397	-	baseline	-	-	-	-	-	-
71397	7	interval01	459	1734	459	1020	459	triangle
79608	8	interval02	510	1377	510	1683	510	circle
88278	-	baseline	-	-	-	-	-	-
94278	9	interval04	612	1887	612	1785	612	triangle
103866	10	beat02	510	1530	510	1530	510	triangle
112536	11	interval05	663	1700	663	2278	663	triangle
122583	12	interval01	459	1734	459	1020	459	circle
130794	13	interval05	663	1700	663	2278	663	circle
140841	14	beat05	663	1989	663	1989	663	circle
150888	15	beat05	663	1989	663	1989	663	triangle
160935	16	interval04	612	1887	612	1785	612	triangle
170523	17	beat04	612	1836	612	1836	612	circle
180111	18	interval02	510	1377	510	1683	510	triangle
188781	-	baseline	-	-	-	-	-	-
194781	19	interval01	459	1734	459	1020	459	circle
202992	20	beat01	459	1377	459	1377	459	circle
211203	21	interval04	612	1887	612	1785	612	circle
220791	22	beat04	612	1836	612	1836	612	triangle
230379	23	interval03	561	1717	561	1649	561	circle
239508	24	interval05	663	1700	663	2278	663	triangle
249555	25	beat05	663	1989	663	1989	663	triangle
259602	26	beat02	510	1530	510	1530	510	circle
268272	27	beat01	459	1377	459	1377	459	circle
276483	-	baseline	-	-	-	-	-	-
282483	28	interval01	459	1734	459	1020	459	circle
290694	29	interval05	663	1700	663	2278	663	circle
300741	30	beat03	561	1683	561	1683	561	circle
