onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval04	612	1377	612	2295
11488	2	interval05	663	1853	663	2125
20376	3	beat05	663	1989	663	1989
29264	4	beat02	510	1530	510	1530
36928	5	interval03	561	1853	561	1513
45000	-	baseline	-	-	-	-
51000	6	interval01	459	1513	459	1241
58256	7	beat05	663	1989	663	1989
67144	8	beat04	612	1836	612	1836
75624	9	beat02	510	1530	510	1530
83288	10	interval03	561	1853	561	1513
91360	11	interval04	612	1377	612	2295
99840	-	baseline	-	-	-	-
105840	12	beat01	459	1377	459	1377
113096	13	beat03	561	1683	561	1683
121168	14	interval02	510	1819	510	1241
128832	15	beat01	459	1377	459	1377
136088	-	baseline	-	-	-	-
142088	16	interval05	663	1853	663	2125
150976	17	beat01	459	1377	459	1377
158232	18	interval01	459	1513	459	1241
165488	-	baseline	-	-	-	-
171488	19	beat02	510	1530	510	1530
179152	20	interval02	510	1819	510	1241
186816	21	beat05	663	1989	663	1989
195704	22	beat04	612	1836	612	1836
204184	23	interval05	663	1853	663	2125
213072	24	interval01	459	1513	459	1241
220328	25	beat03	561	1683	561	1683
228400	26	interval03	561	1853	561	1513
236472	-	baseline	-	-	-	-
242472	27	interval02	510	1819	510	1241
250136	28	beat04	612	1836	612	1836
258616	29	interval04	612	1377	612	2295
267096	30	beat03	561	1683	561	1683
