onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat05	663	1989	663	1989	530
12426	2	beat02	510	1530	510	1530	500
20590	3	beat05	663	1989	663	1989	650
30128	4	beat05	663	1989	663	1989	796
39812	5	beat01	459	1377	459	1377	551
47619	6	interval05	663	1887	663	2091	650
57157	-	baseline	-	-	-	-	-
63157	7	interval01	459	1445	459	1309	551
70964	8	beat04	612	1836	612	1836	734
80178	-	baseline	-	-	-	-	-
86178	9	interval03	561	1717	561	1649	494
94744	10	interval05	663	1887	663	2091	530
104162	-	baseline	-	-	-	-	-
110162	11	interval04	612	1513	612	2159	490
119132	12	beat03	561	1683	561	1683	572
127776	13	beat02	510	1530	510	1530	520
135960	14	beat01	459	1377	459	1377	404
143620	15	beat03	561	1683	561	1683	494
152186	-	baseline	-	-	-	-	-
158186	16	interval03	561	1717	561	1649	572
166830	17	interval03	561	1717	561	1649	449
175351	-	baseline	-	-	-	-	-
181351	18	interval02	510	1853	510	1207	520
189535	19	beat02	510	1530	510	1530	571
197770	20	interval01	459	1445	459	1309	514
205540	21	beat04	612	1836	612	1836	490
214510	22	beat03	561	1683	561	1683	449
223031	23	interval04	612	1513	612	2159	539
232050	24	interval04	612	1513	612	2159	734
241264	25	beat04	612	1836	612	1836	539
250283	26	beat01	459	1377	459	1377	514
258053	27	interval02	510	1853	510	1207	571
266288	28	interval01	459	1445	459	1309	404
273948	29	interval02	510	1853	510	1207	500
282112	30	interval05	663	1887	663	2091	796
