onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	beat03	561	1683	561	1683
14568	2	beat04	612	1836	612	1836
23544	-	baseline	-	-	-	-
29544	3	interval05	663	1853	663	2125
38928	4	beat01	459	1377	459	1377
46680	5	beat03	561	1683	561	1683
55248	6	beat02	510	1530	510	1530
63408	-	baseline	-	-	-	-
69408	7	interval01	459	1513	459	1241
77160	8	interval03	561	1853	561	1513
85728	9	beat04	612	1836	612	1836
94704	10	interval04	612	1377	612	2295
103680	11	beat05	663	1989	663	1989
113064	12	interval01	459	1513	459	1241
120816	-	baseline	-	-	-	-
126816	13	beat03	561	1683	561	1683
135384	14	interval05	663	1853	663	2125
144768	15	interval03	561	1853	561	1513
153336	16	beat01	459	1377	459	1377
161088	17	interval02	510	1819	510	1241
169248	-	baseline	-	-	-	-
175248	18	beat05	663	1989	663	1989
184632	19	interval02	510	1819	510	1241
192792	20	beat04	612	1836	612	1836
201768	21	interval01	459	1513	459	1241
209520	22	beat02	510	1530	510	1530
217680	23	interval04	612	1377	612	2295
226656	24	beat01	459	1377	459	1377
234408	-	baseline	-	-	-	-
240408	25	interval04	612	1377	612	2295
249384	26	interval02	510	1819	510	1241
257544	27	beat02	510	1530	510	1530
265704	28	interval03	561	1853	561	1513
274272	29	interval05	663	1853	663	2125
283656	30	beat05	663	1989	663	1989
