onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	beat04	612	1836	612	1836
14976	2	beat02	510	1530	510	1530
23136	3	interval01	459	1513	459	1241
30888	4	interval02	510	1819	510	1241
39048	5	beat05	663	1989	663	1989
48432	6	beat04	612	1836	612	1836
57408	7	interval05	663	1853	663	2125
66792	-	baseline	-	-	-	-
72792	8	beat01	459	1377	459	1377
80544	9	interval03	561	1853	561	1513
89112	10	beat03	561	1683	561	1683
97680	11	interval04	612	1377	612	2295
106656	-	baseline	-	-	-	-
112656	12	beat01	459	1377	459	1377
120408	13	beat04	612	1836	612	1836
129384	14	interval03	561	1853	561	1513
137952	15	beat02	510	1530	510	1530
146112	16	interval05	663	1853	663	2125
155496	17	interval02	510	1819	510	1241
163656	18	beat05	663	1989	663	1989
173040	-	baseline	-	-	-	-
179040	19	interval01	459	1513	459	1241
186792	20	interval03	561	1853	561	1513
195360	21	beat05	663	1989	663	1989
204744	22	beat01	459	1377	459	1377
212496	23	beat03	561	1683	561	1683
221064	-	baseline	-	-	-	-
227064	24	interval04	612	1377	612	2295
236040	25	interval01	459	1513	459	1241
243792	26	interval05	663	1853	663	2125
253176	27	interval02	510	1819	510	1241
261336	28	interval04	612	1377	612	2295
270312	-	baseline	-	-	-	-
276312	29	beat03	561	1683	561	1683
284880	30	beat02	510	1530	510	1530
