onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat02	510	1530	510	1530	500
11172	2	beat05	663	1989	663	1989	530
20590	3	interval05	663	1887	663	2091	583
30061	4	interval02	510	1853	510	1207	449
38174	5	beat04	612	1836	612	1836	624
47278	6	beat01	459	1377	459	1377	551
55085	-	baseline	-	-	-	-	-
61085	7	beat01	459	1377	459	1377	367
68708	8	beat03	561	1683	561	1683	673
77453	9	interval03	561	1717	561	1649	449
85974	-	baseline	-	-	-	-	-
91974	10	beat03	561	1683	561	1683	550
100596	11	interval05	663	1887	663	2091	743
110227	12	beat01	459	1377	459	1377	514
117997	13	interval01	459	1445	459	1309	367
125620	14	interval03	561	1717	561	1649	550
134242	15	beat02	510	1530	510	1530	520
142426	16	interval02	510	1853	510	1207	520
150610	-	baseline	-	-	-	-	-
156610	17	interval03	561	1717	561	1649	673
165355	18	interval04	612	1513	612	2159	685
174520	19	interval04	612	1513	612	2159	624
183624	20	interval01	459	1445	459	1309	551
191431	-	baseline	-	-	-	-	-
197431	21	interval02	510	1853	510	1207	500
205595	22	beat05	663	1989	663	1989	583
215066	23	beat05	663	1989	663	1989	743
224697	24	beat04	612	1836	612	1836	685
233862	25	beat04	612	1836	612	1836	734
243076	26	beat02	510	1530	510	1530	449
251189	27	beat03	561	1683	561	1683	449
259710	-	baseline	-	-	-	-	-
265710	28	interval01	459	1445	459	1309	514
273480	29	interval04	612	1513	612	2159	734
282694	30	interval05	663	1887	663	2091	530
