onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	interval05	663	1853	663	2125
15384	2	interval04	612	1377	612	2295
24360	3	beat04	612	1836	612	1836
33336	4	beat05	663	1989	663	1989
42720	5	interval05	663	1853	663	2125
52104	-	baseline	-	-	-	-
58104	6	beat05	663	1989	663	1989
67488	7	interval02	510	1819	510	1241
75648	8	interval05	663	1853	663	2125
85032	9	beat04	612	1836	612	1836
94008	10	beat01	459	1377	459	1377
101760	11	beat03	561	1683	561	1683
110328	-	baseline	-	-	-	-
116328	12	beat01	459	1377	459	1377
124080	13	interval03	561	1853	561	1513
132648	14	beat05	663	1989	663	1989
142032	15	interval01	459	1513	459	1241
149784	16	beat01	459	1377	459	1377
157536	-	baseline	-	-	-	-
163536	17	beat03	561	1683	561	1683
172104	18	interval03	561	1853	561	1513
180672	-	baseline	-	-	-	-
186672	19	beat02	510	1530	510	1530
194832	20	interval04	612	1377	612	2295
203808	21	interval01	459	1513	459	1241
211560	22	beat02	510	1530	510	1530
219720	23	interval02	510	1819	510	1241
227880	24	beat04	612	1836	612	1836
236856	25	interval03	561	1853	561	1513
245424	26	interval04	612	1377	612	2295
254400	27	beat02	510	1530	510	1530
262560	28	interval01	459	1513	459	1241
270312	-	baseline	-	-	-	-
276312	29	beat03	561	1683	561	1683
284880	30	interval02	510	1819	510	1241
