onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	interval05	663	1853	663	2125
21384	2	beat04	612	1836	612	1836
30360	3	interval01	459	1513	459	1241
38112	-	baseline	-	-	-	-
44112	4	beat03	561	1683	561	1683
52680	5	interval04	612	1377	612	2295
61656	-	baseline	-	-	-	-
67656	6	beat01	459	1377	459	1377
75408	7	interval04	612	1377	612	2295
84384	8	interval01	459	1513	459	1241
92136	9	beat04	612	1836	612	1836
101112	10	interval03	561	1853	561	1513
109680	11	beat03	561	1683	561	1683
118248	12	interval02	510	1819	510	1241
126408	13	interval05	663	1853	663	2125
135792	14	interval04	612	1377	612	2295
144768	15	beat02	510	1530	510	1530
152928	16	interval03	561	1853	561	1513
161496	17	beat05	663	1989	663	1989
170880	-	baseline	-	-	-	-
176880	18	beat03	561	1683	561	1683
185448	19	beat04	612	1836	612	1836
194424	20	interval01	459	1513	459	1241
202176	21	beat02	510	1530	510	1530
210336	22	interval02	510	1819	510	1241
218496	23	beat01	459	1377	459	1377
226248	-	baseline	-	-	-	-
232248	24	interval05	663	1853	663	2125
241632	25	beat05	663	1989	663	1989
251016	26	beat02	510	1530	510	1530
259176	-	baseline	-	-	-	-
265176	27	interval03	561	1853	561	1513
273744	28	interval02	510	1819	510	1241
281904	29	beat05	663	1989	663	1989
291288	30	beat01	459	1377	459	1377
