onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	interval04	612	1377	612	2295
20976	2	interval05	663	1853	663	2125
30360	3	beat01	459	1377	459	1377
38112	4	beat04	612	1836	612	1836
47088	-	baseline	-	-	-	-
53088	5	interval03	561	1853	561	1513
61656	6	interval02	510	1819	510	1241
69816	7	interval05	663	1853	663	2125
79200	8	beat01	459	1377	459	1377
86952	9	interval04	612	1377	612	2295
95928	-	baseline	-	-	-	-
101928	10	interval02	510	1819	510	1241
110088	11	beat03	561	1683	561	1683
118656	-	baseline	-	-	-	-
124656	12	beat04	612	1836	612	1836
133632	13	beat02	510	1530	510	1530
141792	14	interval05	663	1853	663	2125
151176	15	interval03	561	1853	561	1513
159744	16	interval04	612	1377	612	2295
168720	17	beat05	663	1989	663	1989
178104	18	interval01	459	1513	459	1241
185856	19	beat02	510	1530	510	1530
194016	20	beat01	459	1377	459	1377
201768	21	interval01	459	1513	459	1241
209520	-	baseline	-	-	-	-
215520	22	beat03	561	1683	561	1683
224088	23	interval02	510	1819	510	1241
232248	24	beat05	663	1989	663	1989
241632	-	baseline	-	-	-	-
247632	25	beat03	561	1683	561	1683
256200	26	interval01	459	1513	459	1241
263952	27	beat05	663	1989	663	1989
273336	28	beat04	612	1836	612	1836
282312	29	interval03	561	1853	561	1513
290880	30	beat02	510	1530	510	1530
