onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval04	612	1377	612	2295
11488	2	interval05	663	1853	663	2125
20376	3	beat02	510	1530	510	1530
28040	4	beat04	612	1836	612	1836
36520	5	beat03	561	1683	561	1683
44592	6	interval03	561	1853	561	1513
52664	7	interval01	459	1513	459	1241
59920	-	baseline	-	-	-	-
65920	8	interval03	561	1853	561	1513
73992	9	beat01	459	1377	459	1377
81248	10	interval04	612	1377	612	2295
89728	-	baseline	-	-	-	-
95728	11	beat05	663	1989	663	1989
104616	12	beat04	612	1836	612	1836
113096	-	baseline	-	-	-	-
119096	13	interval03	561	1853	561	1513
127168	14	interval04	612	1377	612	2295
135648	15	beat05	663	1989	663	1989
144536	16	beat03	561	1683	561	1683
152608	17	beat01	459	1377	459	1377
159864	18	interval05	663	1853	663	2125
168752	19	beat05	663	1989	663	1989
177640	20	interval01	459	1513	459	1241
184896	21	beat01	459	1377	459	1377
192152	-	baseline	-	-	-	-
198152	22	interval05	663	1853	663	2125
207040	23	interval02	510	1819	510	1241
214704	24	beat03	561	1683	561	1683
222776	25	beat04	612	1836	612	1836
231256	26	beat02	510	1530	510	1530
238920	27	interval02	510	1819	510	1241
246584	-	baseline	-	-	-	-
252584	28	beat02	510	1530	510	1530
260248	29	interval01	459	1513	459	1241
267504	30	interval02	510	1819	510	1241
