onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat02	510	1530	510	1530
10672	2	beat03	561	1683	561	1683
18744	3	beat05	663	1989	663	1989
27632	4	interval02	510	1819	510	1241
35296	-	baseline	-	-	-	-
41296	5	beat01	459	1377	459	1377
48552	6	interval01	459	1513	459	1241
55808	7	beat04	612	1836	612	1836
64288	8	interval04	612	1377	612	2295
72768	9	beat02	510	1530	510	1530
80432	10	interval01	459	1513	459	1241
87688	11	interval04	612	1377	612	2295
96168	-	baseline	-	-	-	-
102168	12	beat03	561	1683	561	1683
110240	13	beat04	612	1836	612	1836
118720	14	beat05	663	1989	663	1989
127608	15	interval03	561	1853	561	1513
135680	16	interval05	663	1853	663	2125
144568	-	baseline	-	-	-	-
150568	17	beat01	459	1377	459	1377
157824	18	interval01	459	1513	459	1241
165080	19	interval02	510	1819	510	1241
172744	20	interval03	561	1853	561	1513
180816	21	beat02	510	1530	510	1530
188480	22	beat05	663	1989	663	1989
197368	23	beat01	459	1377	459	1377
204624	24	beat04	612	1836	612	1836
213104	25	beat03	561	1683	561	1683
221176	-	baseline	-	-	-	-
227176	26	interval03	561	1853	561	1513
235248	27	interval05	663	1853	663	2125
244136	28	interval04	612	1377	612	2295
252616	-	baseline	-	-	-	-
258616	29	interval02	510	1819	510	1241
266280	30	interval05	663	1853	663	2125
