onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	beat03	561	1683	561	1683	449
15017	2	beat03	561	1683	561	1683	494
24079	3	interval05	663	1887	663	2091	650
34113	4	interval03	561	1717	561	1649	673
43354	5	beat04	612	1836	612	1836	685
53015	6	beat01	459	1377	459	1377	514
61281	7	beat05	663	1989	663	1989	650
71315	8	interval02	510	1853	510	1207	571
80046	9	interval05	663	1887	663	2091	796
90226	-	baseline	-	-	-	-	-
96226	10	interval03	561	1717	561	1649	494
105288	11	beat01	459	1377	459	1377	450
113490	12	beat04	612	1836	612	1836	624
123090	13	interval02	510	1853	510	1207	520
131770	14	interval01	459	1445	459	1309	514
140036	15	beat05	663	1989	663	1989	796
150216	16	interval01	459	1445	459	1309	404
158372	17	beat03	561	1683	561	1683	673
167613	-	baseline	-	-	-	-	-
173613	18	interval02	510	1853	510	1207	408
182181	19	beat01	459	1377	459	1377	404
190337	20	interval05	663	1887	663	2091	676
200397	-	baseline	-	-	-	-	-
206397	21	interval01	459	1445	459	1309	450
214599	22	interval04	612	1513	612	2159	685
224260	23	beat04	612	1836	612	1836	490
233726	24	interval03	561	1717	561	1649	449
242743	-	baseline	-	-	-	-	-
248743	25	beat02	510	1530	510	1530	571
257474	26	interval04	612	1513	612	2159	624
267074	27	beat05	663	1989	663	1989	676
277134	-	baseline	-	-	-	-	-
283134	28	beat02	510	1530	510	1530	408
291702	29	interval04	612	1513	612	2159	490
301168	30	beat02	510	1530	510	1530	520
