onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat03	561	1683	561	1683	628
11708	2	interval01	459	1445	459	1309	450
19414	3	interval05	663	1887	663	2091	676
28978	4	beat02	510	1530	510	1530	612
37254	5	interval05	663	1887	663	2091	530
46672	6	beat04	612	1836	612	1836	685
55837	7	beat04	612	1836	612	1836	490
64807	8	beat05	663	1989	663	1989	676
74371	9	interval02	510	1853	510	1207	449
82484	10	interval03	561	1717	561	1649	494
91050	-	baseline	-	-	-	-	-
97050	11	interval04	612	1513	612	2159	685
106215	12	beat03	561	1683	561	1683	494
114781	13	beat05	663	1989	663	1989	650
124319	14	interval03	561	1717	561	1649	628
133019	15	interval01	459	1445	459	1309	551
140826	16	interval01	459	1445	459	1309	404
148486	17	beat03	561	1683	561	1683	572
157130	18	beat01	459	1377	459	1377	551
164937	-	baseline	-	-	-	-	-
170937	19	interval02	510	1853	510	1207	612
179213	20	interval04	612	1513	612	2159	624
188317	-	baseline	-	-	-	-	-
194317	21	interval02	510	1853	510	1207	571
202552	22	beat01	459	1377	459	1377	450
210258	23	beat01	459	1377	459	1377	404
217918	24	beat04	612	1836	612	1836	624
227022	25	interval04	612	1513	612	2159	490
235992	-	baseline	-	-	-	-	-
241992	26	interval03	561	1717	561	1649	572
250636	27	beat02	510	1530	510	1530	449
258749	-	baseline	-	-	-	-	-
264749	28	beat02	510	1530	510	1530	571
272984	29	beat05	663	1989	663	1989	530
282402	30	interval05	663	1887	663	2091	650
