onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	beat05	663	1989	663	1989
15384	2	beat01	459	1377	459	1377
23136	3	interval02	510	1819	510	1241
31296	-	baseline	-	-	-	-
37296	4	interval05	663	1853	663	2125
46680	5	beat02	510	1530	510	1530
54840	6	interval01	459	1513	459	1241
62592	7	interval04	612	1377	612	2295
71568	8	beat03	561	1683	561	1683
80136	9	beat02	510	1530	510	1530
88296	10	beat04	612	1836	612	1836
97272	11	interval05	663	1853	663	2125
106656	-	baseline	-	-	-	-
112656	12	interval04	612	1377	612	2295
121632	13	beat01	459	1377	459	1377
129384	14	interval02	510	1819	510	1241
137544	15	interval01	459	1513	459	1241
145296	16	interval04	612	1377	612	2295
154272	17	beat02	510	1530	510	1530
162432	-	baseline	-	-	-	-
168432	18	interval03	561	1853	561	1513
177000	19	beat04	612	1836	612	1836
185976	-	baseline	-	-	-	-
191976	20	beat05	663	1989	663	1989
201360	21	interval05	663	1853	663	2125
210744	22	beat01	459	1377	459	1377
218496	23	beat04	612	1836	612	1836
227472	24	beat03	561	1683	561	1683
236040	25	interval03	561	1853	561	1513
244608	26	beat05	663	1989	663	1989
253992	27	interval01	459	1513	459	1241
261744	-	baseline	-	-	-	-
267744	28	interval03	561	1853	561	1513
276312	29	interval02	510	1819	510	1241
284472	30	beat03	561	1683	561	1683
