onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	beat04	612	1836	612	1836	539
15515	2	beat04	612	1836	612	1836	600
25091	3	beat02	510	1530	510	1530	612
33863	4	interval01	459	1445	459	1309	367
41982	5	interval01	459	1445	459	1309	514
50248	6	beat05	663	1989	663	1989	583
60215	-	baseline	-	-	-	-	-
66215	7	interval04	612	1513	612	2159	624
75815	8	interval04	612	1513	612	2159	539
85330	-	baseline	-	-	-	-	-
91330	9	interval05	663	1887	663	2091	583
101297	10	interval03	561	1717	561	1649	494
110359	11	beat01	459	1377	459	1377	514
118625	-	baseline	-	-	-	-	-
124625	12	beat03	561	1683	561	1683	449
133642	13	interval02	510	1853	510	1207	500
142302	14	interval01	459	1445	459	1309	551
150605	15	interval05	663	1887	663	2091	676
160665	16	beat03	561	1683	561	1683	494
169727	17	beat02	510	1530	510	1530	500
178387	18	interval04	612	1513	612	2159	600
187963	-	baseline	-	-	-	-	-
193963	19	beat01	459	1377	459	1377	367
202082	20	beat02	510	1530	510	1530	408
210650	21	beat03	561	1683	561	1683	628
219846	22	interval03	561	1717	561	1649	449
228863	23	interval02	510	1853	510	1207	612
237635	24	beat05	663	1989	663	1989	650
247669	25	interval02	510	1853	510	1207	408
256237	26	beat05	663	1989	663	1989	676
266297	27	interval05	663	1887	663	2091	650
276331	-	baseline	-	-	-	-	-
282331	28	beat04	612	1836	612	1836	624
291931	29	interval03	561	1717	561	1649	628
301127	30	beat01	459	1377	459	1377	551
