onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	interval02	510	1819	510	1241
20160	2	beat04	612	1836	612	1836
29136	3	interval04	612	1377	612	2295
38112	4	interval02	510	1819	510	1241
46272	5	beat01	459	1377	459	1377
54024	-	baseline	-	-	-	-
60024	6	interval04	612	1377	612	2295
69000	7	interval05	663	1853	663	2125
78384	8	beat05	663	1989	663	1989
87768	9	beat04	612	1836	612	1836
96744	-	baseline	-	-	-	-
102744	10	beat02	510	1530	510	1530
110904	11	interval05	663	1853	663	2125
120288	-	baseline	-	-	-	-
126288	12	interval02	510	1819	510	1241
134448	13	beat05	663	1989	663	1989
143832	14	interval03	561	1853	561	1513
152400	15	beat03	561	1683	561	1683
160968	16	beat01	459	1377	459	1377
168720	17	interval04	612	1377	612	2295
177696	18	interval01	459	1513	459	1241
185448	19	beat01	459	1377	459	1377
193200	20	beat02	510	1530	510	1530
201360	21	interval03	561	1853	561	1513
209928	22	interval01	459	1513	459	1241
217680	23	beat03	561	1683	561	1683
226248	24	beat02	510	1530	510	1530
234408	-	baseline	-	-	-	-
240408	25	interval05	663	1853	663	2125
249792	26	beat03	561	1683	561	1683
258360	27	beat04	612	1836	612	1836
267336	-	baseline	-	-	-	-
273336	28	beat05	663	1989	663	1989
282720	29	interval03	561	1853	561	1513
291288	30	interval01	459	1513	459	1241
