onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat04	612	1836	612	1836	624
12112	2	interval01	459	1445	459	1309	450
19818	3	interval02	510	1853	510	1207	408
27890	-	baseline	-	-	-	-	-
33890	4	interval05	663	1887	663	2091	796
43574	5	beat05	663	1989	663	1989	796
53258	6	interval05	663	1887	663	2091	743
62889	7	interval01	459	1445	459	1309	367
70512	-	baseline	-	-	-	-	-
76512	8	beat05	663	1989	663	1989	583
85983	9	beat03	561	1683	561	1683	572
94627	10	interval05	663	1887	663	2091	583
104098	11	interval02	510	1853	510	1207	449
112211	12	beat01	459	1377	459	1377	450
119917	13	beat04	612	1836	612	1836	734
129131	14	interval03	561	1717	561	1649	673
137876	15	interval03	561	1717	561	1649	572
146520	16	interval04	612	1513	612	2159	490
155490	17	beat02	510	1530	510	1530	449
163603	18	beat02	510	1530	510	1530	500
171767	-	baseline	-	-	-	-	-
177767	19	interval01	459	1445	459	1309	468
185491	20	interval02	510	1853	510	1207	500
193655	21	beat03	561	1683	561	1683	673
202400	22	beat04	612	1836	612	1836	490
211370	23	interval04	612	1513	612	2159	624
220474	24	interval03	561	1717	561	1649	628
229174	-	baseline	-	-	-	-	-
235174	25	beat02	510	1530	510	1530	408
243246	26	beat03	561	1683	561	1683	628
251946	27	beat01	459	1377	459	1377	367
259569	28	interval04	612	1513	612	2159	734
268783	-	baseline	-	-	-	-	-
274783	29	beat01	459	1377	459	1377	468
282507	30	beat05	663	1989	663	1989	743
