onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat03	544	1632	544	1632
11264	2	interval03	544	1836	544	1428
19520	3	interval06	672	1744	672	2380
28892	4	beat03	544	1632	544	1632
37148	5	interval05	629	1394	629	850
44554	6	interval03	544	1836	544	1428
52810	7	beat04	592	1776	592	1776
61450	8	beat05	629	1887	629	1887
70386	9	interval05	629	1394	629	850
77792	10	interval04	592	1428	592	850
85158	-	baseline	-	-	-	-
91158	11	beat05	629	1887	629	1887
100094	12	beat01	459	1377	459	1377
107670	-	baseline	-	-	-	-
113670	13	interval06	672	1744	672	2380
123042	14	beat03	544	1632	544	1632
131298	15	beat06	672	2016	672	2016
140578	-	baseline	-	-	-	-
146578	16	interval02	496	1870	496	2288
155632	17	beat01	459	1377	459	1377
163208	18	beat02	496	1488	496	1488
171080	19	interval02	496	1870	496	2288
180134	20	beat06	672	2016	672	2016
189414	21	beat05	629	1887	629	1887
198350	22	interval01	459	1904	459	2380
207456	23	beat04	592	1776	592	1776
216096	24	interval02	496	1870	496	2288
225150	-	baseline	-	-	-	-
231150	25	beat04	592	1776	592	1776
239790	26	beat03	544	1632	544	1632
248046	27	interval01	459	1904	459	2380
257152	28	beat05	629	1887	629	1887
266088	-	baseline	-	-	-	-
272088	29	beat02	496	1488	496	1488
279960	30	interval04	592	1428	592	850
287326	31	beat03	544	1632	544	1632
295582	32	interval05	629	1394	629	850
302988	-	baseline	-	-	-	-
308988	33	interval04	592	1428	592	850
316354	34	interval03	544	1836	544	1428
324610	35	interval05	629	1394	629	850
332016	36	interval05	629	1394	629	850
