onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat06	672	2016	672	2016
12288	2	beat02	496	1488	496	1488
20160	-	baseline	-	-	-	-
26160	3	interval06	672	1744	672	2380
35532	4	beat03	544	1632	544	1632
43788	5	beat01	459	1377	459	1377
51364	6	interval01	459	1904	459	2380
60470	-	baseline	-	-	-	-
66470	7	beat04	592	1776	592	1776
75110	8	beat01	459	1377	459	1377
82686	-	baseline	-	-	-	-
88686	9	beat02	496	1488	496	1488
96558	10	interval06	672	1744	672	2380
105930	11	beat01	459	1377	459	1377
113506	12	beat06	672	2016	672	2016
122786	13	beat02	496	1488	496	1488
130658	14	interval05	629	1394	629	850
138064	15	beat06	672	2016	672	2016
147344	16	interval03	544	1836	544	1428
155600	17	beat05	629	1887	629	1887
164536	-	baseline	-	-	-	-
170536	18	interval03	544	1836	544	1428
178792	19	interval04	592	1428	592	850
186158	-	baseline	-	-	-	-
192158	20	beat04	592	1776	592	1776
200798	21	interval03	544	1836	544	1428
209054	22	interval02	496	1870	496	2288
218108	23	beat02	496	1488	496	1488
225980	24	interval04	592	1428	592	850
233346	25	interval01	459	1904	459	2380
242452	26	beat05	629	1887	629	1887
251388	27	beat01	459	1377	459	1377
258964	28	interval01	459	1904	459	2380
268070	29	interval02	496	1870	496	2288
277124	30	interval06	672	1744	672	2380
286496	31	interval04	592	1428	592	850
293862	32	beat04	592	1776	592	1776
302502	33	interval01	459	1904	459	2380
311608	34	interval06	672	1744	672	2380
320980	-	baseline	-	-	-	-
326980	35	interval02	496	1870	496	2288
336034	36	beat06	672	2016	672	2016
