onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	interval01	459	1952	459	1836	459	circle
12077	-	baseline	-	-	-	-	-	-
18077	2	beat05	629	1887	629	1887	629	circle
27642	3	interval04	592	1904	592	1648	592	triangle
36874	4	interval01	459	1952	459	1836	459	circle
45943	5	interval05	629	1536	629	1184	629	circle
54454	6	beat04	592	1776	592	1776	592	triangle
63686	7	beat03	544	1632	544	1632	544	circle
72486	8	beat01	459	1377	459	1377	459	circle
80521	9	interval05	629	1536	629	1184	629	circle
89032	10	interval06	672	1564	672	1836	672	triangle
98352	-	baseline	-	-	-	-	-	-
104352	11	interval02	496	1792	496	1836	496	triangle
113372	12	interval06	672	1564	672	1836	672	triangle
122692	13	interval01	459	1952	459	1836	459	circle
131761	14	beat02	496	1488	496	1488	496	triangle
140129	15	interval02	496	1792	496	1836	496	triangle
149149	-	baseline	-	-	-	-	-	-
155149	16	beat03	544	1632	544	1632	544	circle
163949	17	beat02	496	1488	496	1488	496	triangle
172317	18	beat01	459	1377	459	1377	459	circle
180352	19	interval05	629	1536	629	1184	629	circle
188863	20	beat02	496	1488	496	1488	496	triangle
197231	21	beat01	459	1377	459	1377	459	circle
205266	22	beat04	592	1776	592	1776	592	triangle
214498	23	interval06	672	1564	672	1836	672	triangle
223818	24	beat01	459	1377	459	1377	459	circle
231853	-	baseline	-	-	-	-	-	-
237853	25	interval03	544	1428	544	1836	544	circle
246653	26	interval06	672	1564	672	1836	672	triangle
255973	-	baseline	-	-	-	-	-	-
261973	27	interval05	629	1536	629	1184	629	circle
270484	28	beat02	496	1488	496	1488	496	triangle
278852	29	beat01	459	1377	459	1377	459	circle
286887	-	baseline	-	-	-	-	-	-
292887	30	beat06	672	2016	672	2016	672	triangle
302839	31	beat03	544	1632	544	1632	544	circle
311639	32	interval03	544	1428	544	1836	544	circle
320439	33	interval06	672	1564	672	1836	672	triangle
329759	34	beat04	592	1776	592	1776	592	triangle
338991	35	interval04	592	1904	592	1648	592	triangle
348223	36	beat02	496	1488	496	1488	496	triangle
