onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat04	612	1836	612	1836	539
12027	2	beat01	459	1377	459	1377	450
19733	3	beat02	510	1530	510	1530	500
27897	4	interval03	561	1717	561	1649	628
36597	5	beat02	510	1530	510	1530	449
44710	6	interval01	459	1445	459	1309	551
52517	7	beat04	612	1836	612	1836	624
61621	-	baseline	-	-	-	-	-
67621	8	interval02	510	1853	510	1207	449
75734	9	beat03	561	1683	561	1683	550
84356	10	interval04	612	1513	612	2159	624
93460	11	beat03	561	1683	561	1683	628
102160	-	baseline	-	-	-	-	-
108160	12	beat01	459	1377	459	1377	551
115967	13	interval02	510	1853	510	1207	408
124039	14	interval04	612	1513	612	2159	490
133009	15	beat05	663	1989	663	1989	796
142693	16	interval05	663	1887	663	2091	583
152164	17	beat02	510	1530	510	1530	408
160236	18	interval01	459	1445	459	1309	468
167960	19	beat05	663	1989	663	1989	583
177431	20	interval04	612	1513	612	2159	539
186450	-	baseline	-	-	-	-	-
192450	21	interval03	561	1717	561	1649	449
200971	22	beat03	561	1683	561	1683	449
209492	23	interval03	561	1717	561	1649	550
218114	-	baseline	-	-	-	-	-
224114	24	interval02	510	1853	510	1207	500
232278	25	interval01	459	1445	459	1309	450
239984	26	interval05	663	1887	663	2091	796
249668	27	interval05	663	1887	663	2091	743
259299	-	baseline	-	-	-	-	-
265299	28	beat01	459	1377	459	1377	468
273023	29	beat05	663	1989	663	1989	743
282654	30	beat04	612	1836	612	1836	490
