onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	beat01	459	1377	459	1377	459	circle
14211	2	random11	592	782	496	1802	459	circle
22422	3	interval04	612	1581	612	2091	612	triangle
32010	-	baseline	-	-	-	-	-	-
38010	4	random17	1536	969	912	663	510	circle
46680	5	interval03	561	1394	561	1972	561	circle
55809	6	interval04	612	1581	612	2091	612	triangle
65397	7	interval05	663	1853	663	2125	663	circle
75444	8	beat03	561	1683	561	1683	561	triangle
84573	-	baseline	-	-	-	-	-	-
90573	9	beat04	612	1836	612	1836	612	triangle
100161	10	random15	1120	884	1600	1700	663	circle
110208	11	interval02	510	1768	510	1292	510	triangle
118878	-	baseline	-	-	-	-	-	-
124878	12	interval01	459	1819	459	935	459	circle
133089	13	beat02	510	1530	510	1530	510	triangle
141759	14	random20	1376	1224	704	2000	663	triangle
151806	15	interval03	561	1394	561	1972	561	triangle
160935	16	beat05	663	1989	663	1989	663	circle
170982	17	random01	969	1105	1088	510	459	circle
179193	18	interval02	510	1768	510	1292	510	circle
187863	19	beat01	459	1377	459	1377	459	circle
196074	-	baseline	-	-	-	-	-	-
202074	20	interval01	459	1819	459	935	459	circle
210285	21	random04	1054	1071	2125	646	612	triangle
219873	22	random14	2080	704	768	1344	612	triangle
229461	23	interval05	663	1853	663	2125	663	triangle
239508	-	baseline	-	-	-	-	-	-
245508	24	random18	1071	578	1700	1139	561	triangle
254637	25	beat03	561	1683	561	1683	561	circle
263766	26	random03	1584	680	576	1648	561	circle
272895	27	beat05	663	1989	663	1989	663	triangle
282942	28	beat04	612	1836	612	1836	612	triangle
292530	29	random12	748	1152	1568	612	510	triangle
301200	30	beat02	510	1530	510	1530	510	circle
