onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	interval05	663	1853	663	2125	663	triangle
16047	2	interval04	612	1581	612	2091	612	circle
25635	3	beat01	459	1377	459	1377	459	triangle
33846	-	baseline	-	-	-	-	-	-
39846	4	random08	680	2192	656	960	561	triangle
48975	5	interval01	459	1819	459	935	459	triangle
57186	6	interval04	612	1581	612	2091	612	circle
66774	-	baseline	-	-	-	-	-	-
72774	7	beat01	459	1377	459	1377	459	triangle
80985	8	random19	1040	1472	800	1584	612	circle
90573	-	baseline	-	-	-	-	-	-
96573	9	beat04	612	1836	612	1836	612	circle
106161	10	random10	1408	1216	680	2000	663	triangle
116208	-	baseline	-	-	-	-	-	-
122208	11	random09	2176	896	832	992	612	circle
131796	12	random02	864	608	864	1744	510	triangle
140466	13	beat02	510	1530	510	1530	510	circle
149136	14	interval01	459	1819	459	935	459	triangle
157347	15	random13	595	1224	1105	1564	561	circle
166476	16	beat03	561	1683	561	1683	561	circle
175605	17	beat03	561	1683	561	1683	561	triangle
184734	18	beat05	663	1989	663	1989	663	triangle
194781	19	random06	1156	595	1241	680	459	triangle
202992	20	beat02	510	1530	510	1530	510	triangle
211662	21	interval02	510	1768	510	1292	510	circle
220332	22	beat05	663	1989	663	1989	663	circle
230379	23	beat04	612	1836	612	1836	612	circle
239967	24	interval02	510	1768	510	1292	510	triangle
248637	25	random16	748	952	680	1292	459	triangle
256848	26	random05	1071	1088	2244	901	663	circle
266895	27	interval03	561	1394	561	1972	561	triangle
276024	28	interval03	561	1394	561	1972	561	circle
285153	-	baseline	-	-	-	-	-	-
291153	29	random07	960	2000	528	592	510	circle
299823	30	interval05	663	1853	663	2125	663	circle
