onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	interval02	510	1853	510	1207	612
14772	2	beat02	510	1530	510	1530	612
23544	3	beat03	561	1683	561	1683	449
32561	4	interval05	663	1887	663	2091	530
42475	5	beat05	663	1989	663	1989	743
52602	6	beat04	612	1836	612	1836	490
62068	7	beat04	612	1836	612	1836	539
71583	8	interval05	663	1887	663	2091	743
81710	9	beat01	459	1377	459	1377	404
89866	10	beat04	612	1836	612	1836	600
99442	-	baseline	-	-	-	-	-
105442	11	interval01	459	1445	459	1309	404
113598	12	interval04	612	1513	612	2159	600
123174	13	beat03	561	1683	561	1683	572
132314	-	baseline	-	-	-	-	-
138314	14	interval05	663	1887	663	2091	796
148494	15	beat01	459	1377	459	1377	514
156760	16	interval02	510	1853	510	1207	500
165420	17	beat02	510	1530	510	1530	500
174080	18	interval01	459	1445	459	1309	514
182346	19	interval03	561	1717	561	1649	572
191486	20	interval03	561	1717	561	1649	628
200682	21	beat05	663	1989	663	1989	796
210862	-	baseline	-	-	-	-	-
216862	22	interval04	612	1513	612	2159	539
226377	23	beat03	561	1683	561	1683	628
235573	24	interval03	561	1717	561	1649	449
244590	25	beat02	510	1530	510	1530	449
253199	26	beat01	459	1377	459	1377	468
261419	-	baseline	-	-	-	-	-
267419	27	interval01	459	1445	459	1309	468
275639	28	beat05	663	1989	663	1989	530
285553	-	baseline	-	-	-	-	-
291553	29	interval02	510	1853	510	1207	449
300162	30	interval04	612	1513	612	2159	490
