onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval02	510	1853	510	1207	500
11172	2	interval05	663	1887	663	2091	743
20803	-	baseline	-	-	-	-	-
26803	3	interval05	663	1887	663	2091	796
36487	4	interval04	612	1513	612	2159	624
45591	5	beat02	510	1530	510	1530	500
53755	-	baseline	-	-	-	-	-
59755	6	beat03	561	1683	561	1683	449
68276	7	beat01	459	1377	459	1377	551
76083	8	interval04	612	1513	612	2159	600
85163	9	beat02	510	1530	510	1530	520
93347	10	beat03	561	1683	561	1683	494
101913	-	baseline	-	-	-	-	-
107913	11	interval03	561	1717	561	1649	494
116479	12	beat05	663	1989	663	1989	676
126043	13	interval02	510	1853	510	1207	571
134278	-	baseline	-	-	-	-	-
140278	14	interval03	561	1717	561	1649	550
148900	15	interval01	459	1445	459	1309	551
156707	16	interval05	663	1887	663	2091	676
166271	17	beat02	510	1530	510	1530	571
174506	18	beat04	612	1836	612	1836	600
183586	19	interval02	510	1853	510	1207	520
191770	20	beat03	561	1683	561	1683	550
200392	21	interval01	459	1445	459	1309	404
208052	22	beat04	612	1836	612	1836	734
217266	23	beat01	459	1377	459	1377	404
224926	24	interval04	612	1513	612	2159	734
234140	25	beat05	663	1989	663	1989	796
243824	-	baseline	-	-	-	-	-
249824	26	interval03	561	1717	561	1649	449
258345	27	beat01	459	1377	459	1377	367
265968	28	beat04	612	1836	612	1836	624
275072	29	beat05	663	1989	663	1989	743
284703	30	interval01	459	1445	459	1309	367
