onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
12000	1	beat05	663	1989	663	1989	743
22127	2	interval05	663	1887	663	2091	530
32041	3	beat02	510	1530	510	1530	408
40609	4	beat02	510	1530	510	1530	571
49340	5	beat03	561	1683	561	1683	550
58458	-	baseline	-	-	-	-	-
64458	6	interval01	459	1445	459	1309	468
72678	7	interval02	510	1853	510	1207	612
81450	8	beat04	612	1836	612	1836	539
90965	9	interval04	612	1513	612	2159	734
100675	10	interval01	459	1445	459	1309	450
108877	11	interval03	561	1717	561	1649	550
117995	12	beat03	561	1683	561	1683	572
127135	13	beat01	459	1377	459	1377	450
135337	14	beat05	663	1989	663	1989	530
145251	-	baseline	-	-	-	-	-
151251	15	interval04	612	1513	612	2159	685
160912	16	beat03	561	1683	561	1683	673
170153	17	interval02	510	1853	510	1207	408
178721	18	interval01	459	1445	459	1309	367
186840	19	beat04	612	1836	612	1836	685
196501	20	beat05	663	1989	663	1989	583
206468	-	baseline	-	-	-	-	-
212468	21	interval04	612	1513	612	2159	539
221983	22	beat01	459	1377	459	1377	367
230102	-	baseline	-	-	-	-	-
236102	23	interval05	663	1887	663	2091	743
246229	24	beat01	459	1377	459	1377	468
254449	25	interval03	561	1717	561	1649	572
263589	26	interval03	561	1717	561	1649	673
272830	27	beat02	510	1530	510	1530	612
281602	28	interval05	663	1887	663	2091	583
291569	-	baseline	-	-	-	-	-
297569	29	beat04	612	1836	612	1836	734
307279	30	interval02	510	1853	510	1207	571
