onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
12000	1	beat04	612	1836	612	1836	490
21466	2	beat02	510	1530	510	1530	449
30075	3	beat03	561	1683	561	1683	628
39271	4	beat05	663	1989	663	1989	650
49305	5	interval02	510	1853	510	1207	500
57965	6	beat02	510	1530	510	1530	500
66625	7	beat01	459	1377	459	1377	551
74928	8	interval02	510	1853	510	1207	449
83537	9	interval05	663	1887	663	2091	676
93597	10	interval01	459	1445	459	1309	551
101900	11	beat04	612	1836	612	1836	600
111476	-	baseline	-	-	-	-	-
117476	12	interval04	612	1513	612	2159	600
127052	13	beat01	459	1377	459	1377	514
135318	14	interval03	561	1717	561	1649	628
144514	-	baseline	-	-	-	-	-
150514	15	beat05	663	1989	663	1989	796
160694	16	beat03	561	1683	561	1683	494
169756	17	beat04	612	1836	612	1836	624
179356	18	interval03	561	1717	561	1649	449
188373	19	beat05	663	1989	663	1989	676
198433	20	interval04	612	1513	612	2159	624
208033	21	beat03	561	1683	561	1683	449
217050	22	interval01	459	1445	459	1309	404
225206	23	interval02	510	1853	510	1207	520
233886	-	baseline	-	-	-	-	-
239886	24	interval05	663	1887	663	2091	650
249920	25	interval04	612	1513	612	2159	490
259386	26	interval05	663	1887	663	2091	796
269566	-	baseline	-	-	-	-	-
275566	27	beat01	459	1377	459	1377	404
283722	28	interval01	459	1445	459	1309	514
291988	-	baseline	-	-	-	-	-
297988	29	interval03	561	1717	561	1649	494
307050	30	beat02	510	1530	510	1530	520
