onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat03	561	1683	561	1683
11080	-	baseline	-	-	-	-
17080	2	beat04	612	1836	612	1836
25560	3	interval05	663	1853	663	2125
34448	4	interval01	459	1513	459	1241
41704	5	interval03	561	1853	561	1513
49776	6	interval04	612	1377	612	2295
58256	7	beat02	510	1530	510	1530
65920	8	beat05	663	1989	663	1989
74808	9	beat01	459	1377	459	1377
82064	10	interval05	663	1853	663	2125
90952	11	interval02	510	1819	510	1241
98616	-	baseline	-	-	-	-
104616	12	interval04	612	1377	612	2295
113096	13	beat03	561	1683	561	1683
121168	14	interval05	663	1853	663	2125
130056	15	beat02	510	1530	510	1530
137720	16	beat01	459	1377	459	1377
144976	17	beat04	612	1836	612	1836
153456	18	beat03	561	1683	561	1683
161528	19	interval02	510	1819	510	1241
169192	-	baseline	-	-	-	-
175192	20	interval04	612	1377	612	2295
183672	21	interval01	459	1513	459	1241
190928	22	interval02	510	1819	510	1241
198592	23	beat04	612	1836	612	1836
207072	-	baseline	-	-	-	-
213072	24	interval03	561	1853	561	1513
221144	25	beat05	663	1989	663	1989
230032	-	baseline	-	-	-	-
236032	26	beat01	459	1377	459	1377
243288	27	interval03	561	1853	561	1513
251360	28	beat05	663	1989	663	1989
260248	29	beat02	510	1530	510	1530
267912	30	interval01	459	1513	459	1241
