onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	beat03	561	1683	561	1683	628
15196	2	beat05	663	1989	663	1989	743
25323	3	interval01	459	1445	459	1309	551
33626	4	interval05	663	1887	663	2091	650
43660	5	interval03	561	1717	561	1649	628
52856	6	interval03	561	1717	561	1649	494
61918	7	beat01	459	1377	459	1377	551
70221	8	interval04	612	1513	612	2159	734
79931	9	beat04	612	1836	612	1836	624
89531	10	beat01	459	1377	459	1377	468
97751	11	interval05	663	1887	663	2091	530
107665	-	baseline	-	-	-	-	-
113665	12	interval03	561	1717	561	1649	449
122682	13	interval01	459	1445	459	1309	450
130884	14	beat05	663	1989	663	1989	530
140798	15	beat04	612	1836	612	1836	539
150313	-	baseline	-	-	-	-	-
156313	16	beat03	561	1683	561	1683	449
165330	17	interval04	612	1513	612	2159	539
174845	18	beat02	510	1530	510	1530	571
183576	19	beat01	459	1377	459	1377	450
191778	-	baseline	-	-	-	-	-
197778	20	beat02	510	1530	510	1530	612
206550	21	interval01	459	1445	459	1309	468
214770	-	baseline	-	-	-	-	-
220770	22	beat03	561	1683	561	1683	494
229832	23	interval02	510	1853	510	1207	571
238563	24	beat04	612	1836	612	1836	734
248273	25	interval02	510	1853	510	1207	500
256933	-	baseline	-	-	-	-	-
262933	26	interval04	612	1513	612	2159	624
272533	27	interval05	663	1887	663	2091	743
282660	28	beat02	510	1530	510	1530	500
291320	29	beat05	663	1989	663	1989	650
301354	30	interval02	510	1853	510	1207	612
