onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	interval02	510	1819	510	1241
20160	2	beat03	561	1683	561	1683
28728	-	baseline	-	-	-	-
34728	3	beat01	459	1377	459	1377
42480	4	interval04	612	1377	612	2295
51456	-	baseline	-	-	-	-
57456	5	beat03	561	1683	561	1683
66024	6	beat05	663	1989	663	1989
75408	-	baseline	-	-	-	-
81408	7	beat04	612	1836	612	1836
90384	8	beat02	510	1530	510	1530
98544	9	interval05	663	1853	663	2125
107928	-	baseline	-	-	-	-
113928	10	beat05	663	1989	663	1989
123312	11	interval04	612	1377	612	2295
132288	12	beat02	510	1530	510	1530
140448	13	beat03	561	1683	561	1683
149016	14	interval04	612	1377	612	2295
157992	15	beat04	612	1836	612	1836
166968	16	beat01	459	1377	459	1377
174720	17	interval03	561	1853	561	1513
183288	18	interval02	510	1819	510	1241
191448	19	interval01	459	1513	459	1241
199200	20	beat04	612	1836	612	1836
208176	21	beat05	663	1989	663	1989
217560	22	interval05	663	1853	663	2125
226944	23	interval03	561	1853	561	1513
235512	24	interval01	459	1513	459	1241
243264	-	baseline	-	-	-	-
249264	25	interval05	663	1853	663	2125
258648	26	beat01	459	1377	459	1377
266400	27	interval01	459	1513	459	1241
274152	28	beat02	510	1530	510	1530
282312	29	interval03	561	1853	561	1513
290880	30	interval02	510	1819	510	1241
