onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	beat02	510	1530	510	1530
20160	2	beat01	459	1377	459	1377
27912	-	baseline	-	-	-	-
33912	3	beat05	663	1989	663	1989
43296	4	beat02	510	1530	510	1530
51456	5	beat03	561	1683	561	1683
60024	6	interval05	663	1853	663	2125
69408	7	interval04	612	1377	612	2295
78384	8	beat05	663	1989	663	1989
87768	9	interval01	459	1513	459	1241
95520	10	interval05	663	1853	663	2125
104904	11	beat01	459	1377	459	1377
112656	12	beat04	612	1836	612	1836
121632	13	interval03	561	1853	561	1513
130200	14	interval01	459	1513	459	1241
137952	-	baseline	-	-	-	-
143952	15	interval03	561	1853	561	1513
152520	16	beat03	561	1683	561	1683
161088	17	interval02	510	1819	510	1241
169248	-	baseline	-	-	-	-
175248	18	beat05	663	1989	663	1989
184632	19	interval02	510	1819	510	1241
192792	20	interval01	459	1513	459	1241
200544	21	beat01	459	1377	459	1377
208296	22	interval03	561	1853	561	1513
216864	-	baseline	-	-	-	-
222864	23	interval04	612	1377	612	2295
231840	24	beat04	612	1836	612	1836
240816	25	interval02	510	1819	510	1241
248976	26	beat02	510	1530	510	1530
257136	27	interval04	612	1377	612	2295
266112	28	interval05	663	1853	663	2125
275496	-	baseline	-	-	-	-
281496	29	beat03	561	1683	561	1683
290064	30	beat04	612	1836	612	1836
