onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat01	459	1377	459	1377	468
11132	2	interval03	544	1424	544	1840	555
20023	3	interval05	629	1581	629	1054	704
28604	4	interval05	629	1581	629	1054	503
36984	-	baseline	-	-	-	-	-
42984	5	interval04	592	1870	592	2193	474
52689	6	interval05	629	1581	629	1054	616
61182	7	interval04	592	1870	592	2193	710
71123	8	beat03	544	1632	544	1632	653
80112	9	beat05	629	1887	629	1887	704
89832	-	baseline	-	-	-	-	-
95832	10	beat05	629	1887	629	1887	642
105490	11	interval03	544	1424	544	1840	479
114305	12	beat05	629	1887	629	1887	503
123824	13	interval02	496	1680	496	1054	506
132040	14	interval01	459	1700	459	2193	468
141303	15	beat05	629	1887	629	1887	616
150935	16	interval02	496	1680	496	1054	595
159240	17	interval06	672	1921	672	1840	659
168988	18	interval02	496	1680	496	1054	397
177095	19	beat03	544	1632	544	1632	435
185866	20	beat06	672	2016	672	2016	659
195885	-	baseline	-	-	-	-	-
201885	21	beat01	459	1377	459	1377	551
210092	22	interval01	459	1700	459	2193	404
219291	-	baseline	-	-	-	-	-
225291	23	beat05	629	1887	629	1887	755
235062	24	beat03	544	1632	544	1632	609
244007	25	interval05	629	1581	629	1054	554
252438	26	interval01	459	1700	459	2193	514
261747	-	baseline	-	-	-	-	-
267747	27	beat02	496	1488	496	1488	436
276135	28	beat05	629	1887	629	1887	554
285705	29	interval01	459	1700	459	2193	551
295051	30	interval03	544	1424	544	1840	533
303920	-	baseline	-	-	-	-	-
309920	31	beat06	672	2016	672	2016	591
319871	32	beat01	459	1377	459	1377	450
327977	33	beat04	592	1776	592	1776	663
337360	34	beat02	496	1488	496	1488	506
345818	35	beat06	672	2016	672	2016	538
355716	36	interval06	672	1921	672	1840	753
