onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval04	612	1513	612	2159	624
12112	2	beat04	612	1836	612	1836	685
21277	3	interval02	510	1853	510	1207	500
29441	-	baseline	-	-	-	-	-
35441	4	beat01	459	1377	459	1377	404
43101	5	beat01	459	1377	459	1377	551
50908	6	beat02	510	1530	510	1530	571
59143	7	beat03	561	1683	561	1683	673
67888	8	beat01	459	1377	459	1377	450
75594	9	beat03	561	1683	561	1683	494
84160	10	beat05	663	1989	663	1989	650
93698	11	interval01	459	1445	459	1309	404
101358	-	baseline	-	-	-	-	-
107358	12	beat02	510	1530	510	1530	500
115522	13	interval04	612	1513	612	2159	490
124492	14	interval01	459	1445	459	1309	551
132299	15	beat02	510	1530	510	1530	408
140371	-	baseline	-	-	-	-	-
146371	16	beat04	612	1836	612	1836	490
155341	17	interval04	612	1513	612	2159	685
164506	18	interval03	561	1717	561	1649	572
173150	19	beat05	663	1989	663	1989	530
182568	20	interval05	663	1887	663	2091	650
192106	21	interval05	663	1887	663	2091	530
201524	-	baseline	-	-	-	-	-
207524	22	interval02	510	1853	510	1207	408
215596	23	interval03	561	1717	561	1649	494
224162	24	beat04	612	1836	612	1836	624
233266	-	baseline	-	-	-	-	-
239266	25	interval02	510	1853	510	1207	571
247501	26	beat03	561	1683	561	1683	572
256145	27	interval05	663	1887	663	2091	676
265709	28	beat05	663	1989	663	1989	676
275273	29	interval01	459	1445	459	1309	450
282979	30	interval03	561	1717	561	1649	673
