onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval08	578	1462	578	1581
11111	-	baseline	-	-	-	-
17111	2	beat15	697	2091	697	2091
26591	3	beat16	714	2142	714	2142
36207	-	baseline	-	-	-	-
42207	4	interval11	629	1819	629	2499
51687	5	interval05	527	1952	527	1632
60229	-	baseline	-	-	-	-
66229	6	beat13	663	1989	663	1989
75437	7	beat03	493	1479	493	1479
83285	-	baseline	-	-	-	-
89285	8	interval04	510	1568	510	799
96576	9	interval17	731	1445	731	1632
105019	10	beat11	629	1887	629	1887
113955	11	beat14	680	2040	680	2040
123299	12	interval14	680	1666	680	2941
133170	13	beat04	510	1530	510	1530
141154	-	baseline	-	-	-	-
147154	14	interval02	476	1680	476	2941
156631	15	beat02	476	1428	476	1428
164343	-	baseline	-	-	-	-
170343	16	beat10	612	1836	612	1836
179143	17	interval09	595	1938	595	748
186923	18	beat12	646	1938	646	1938
195995	-	baseline	-	-	-	-
201995	19	interval13	663	2096	663	799
210120	20	beat06	544	1632	544	1632
218376	21	interval16	714	2112	714	1955
227775	22	interval10	612	2144	612	2414
237461	-	baseline	-	-	-	-
243461	23	beat05	527	1581	527	1581
251581	24	interval06	544	1683	544	799
259055	25	beat01	459	1377	459	1377
266631	26	beat09	595	1785	595	1785
275295	27	interval18	748	1904	748	2941
285540	28	interval12	646	1377	646	2499
294612	29	beat08	578	1734	578	1734
303140	30	beat18	748	2244	748	2244
313028	31	interval01	459	2006	459	748
320604	32	beat07	561	1683	561	1683
328996	33	interval03	493	2159	493	1292
337337	34	interval15	697	1504	697	1955
346094	35	beat17	731	2193	731	2193
355846	36	interval07	561	2074	561	2414
