onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
12000	1	beat04	612	1836	612	1836	490
21466	2	interval01	459	1445	459	1309	367
29585	3	interval03	561	1717	561	1649	673
38826	4	beat03	561	1683	561	1683	673
48067	-	baseline	-	-	-	-	-
54067	5	beat03	561	1683	561	1683	494
63129	6	interval05	663	1887	663	2091	530
73043	7	beat05	663	1989	663	1989	583
83010	8	interval02	510	1853	510	1207	520
91690	9	beat02	510	1530	510	1530	612
100462	10	interval02	510	1853	510	1207	571
109193	11	interval04	612	1513	612	2159	624
118793	-	baseline	-	-	-	-	-
124793	12	interval04	612	1513	612	2159	490
134259	13	beat05	663	1989	663	1989	676
144319	14	beat05	663	1989	663	1989	530
154233	15	beat02	510	1530	510	1530	571
162964	16	interval03	561	1717	561	1649	628
172160	17	beat02	510	1530	510	1530	520
180840	-	baseline	-	-	-	-	-
186840	18	interval04	612	1513	612	2159	600
196416	19	interval05	663	1887	663	2091	583
206383	20	interval01	459	1445	459	1309	450
214585	21	beat03	561	1683	561	1683	628
223781	22	beat01	459	1377	459	1377	367
231900	23	beat01	459	1377	459	1377	450
240102	-	baseline	-	-	-	-	-
246102	24	interval05	663	1887	663	2091	676
256162	25	beat01	459	1377	459	1377	404
264318	26	beat04	612	1836	612	1836	624
273918	27	beat04	612	1836	612	1836	600
283494	-	baseline	-	-	-	-	-
289494	28	interval03	561	1717	561	1649	494
298556	29	interval02	510	1853	510	1207	612
307328	30	interval01	459	1445	459	1309	404
