onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	interval02	510	1819	510	1241
14160	2	beat02	510	1530	510	1530
22320	3	beat05	663	1989	663	1989
31704	4	interval03	561	1853	561	1513
40272	5	beat01	459	1377	459	1377
48024	6	beat05	663	1989	663	1989
57408	7	interval01	459	1513	459	1241
65160	8	interval05	663	1853	663	2125
74544	9	beat01	459	1377	459	1377
82296	-	baseline	-	-	-	-
88296	10	interval03	561	1853	561	1513
96864	11	beat03	561	1683	561	1683
105432	-	baseline	-	-	-	-
111432	12	interval05	663	1853	663	2125
120816	13	beat04	612	1836	612	1836
129792	14	beat02	510	1530	510	1530
137952	15	interval03	561	1853	561	1513
146520	-	baseline	-	-	-	-
152520	16	interval01	459	1513	459	1241
160272	17	beat05	663	1989	663	1989
169656	18	interval02	510	1819	510	1241
177816	19	interval04	612	1377	612	2295
186792	20	interval05	663	1853	663	2125
196176	-	baseline	-	-	-	-
202176	21	beat04	612	1836	612	1836
211152	22	interval04	612	1377	612	2295
220128	23	beat03	561	1683	561	1683
228696	24	beat01	459	1377	459	1377
236448	25	interval04	612	1377	612	2295
245424	-	baseline	-	-	-	-
251424	26	beat04	612	1836	612	1836
260400	27	beat02	510	1530	510	1530
268560	28	interval01	459	1513	459	1241
276312	29	interval02	510	1819	510	1241
284472	30	beat03	561	1683	561	1683
