onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat04	592	1776	592	1776
11648	2	interval04	592	1428	592	850
19014	3	beat02	496	1488	496	1488
26886	4	beat06	672	2016	672	2016
36166	5	interval03	544	1836	544	1428
44422	-	baseline	-	-	-	-
50422	6	interval06	672	1744	672	2380
59794	7	beat03	544	1632	544	1632
68050	8	interval02	496	1870	496	2288
77104	-	baseline	-	-	-	-
83104	9	interval05	629	1394	629	850
90510	10	beat03	544	1632	544	1632
98766	-	baseline	-	-	-	-
104766	11	interval06	672	1744	672	2380
114138	12	interval02	496	1870	496	2288
123192	-	baseline	-	-	-	-
129192	13	interval01	459	1904	459	2380
138298	14	beat04	592	1776	592	1776
146938	15	interval06	672	1744	672	2380
156310	16	interval03	544	1836	544	1428
164566	17	beat03	544	1632	544	1632
172822	18	interval06	672	1744	672	2380
182194	19	beat05	629	1887	629	1887
191130	20	interval01	459	1904	459	2380
200236	21	interval03	544	1836	544	1428
208492	22	beat03	544	1632	544	1632
216748	23	interval04	592	1428	592	850
224114	24	interval01	459	1904	459	2380
233220	25	interval06	672	1744	672	2380
242592	-	baseline	-	-	-	-
248592	26	beat06	672	2016	672	2016
257872	27	beat05	629	1887	629	1887
266808	-	baseline	-	-	-	-
272808	28	interval01	459	1904	459	2380
281914	29	beat04	592	1776	592	1776
290554	30	interval02	496	1870	496	2288
299608	31	beat02	496	1488	496	1488
307480	32	beat01	459	1377	459	1377
315056	33	beat06	672	2016	672	2016
324336	34	beat02	496	1488	496	1488
332208	35	beat05	629	1887	629	1887
341144	36	beat04	592	1776	592	1776
