onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval02	510	1853	510	1207	449
11121	2	beat04	612	1836	612	1836	539
20140	3	interval04	612	1513	612	2159	600
29220	4	interval01	459	1445	459	1309	367
36843	-	baseline	-	-	-	-	-
42843	5	interval05	663	1887	663	2091	530
52261	6	beat01	459	1377	459	1377	468
59985	7	interval01	459	1445	459	1309	468
67709	8	beat02	510	1530	510	1530	520
75893	-	baseline	-	-	-	-	-
81893	9	beat05	663	1989	663	1989	796
91577	10	beat02	510	1530	510	1530	449
99690	11	interval02	510	1853	510	1207	500
107854	-	baseline	-	-	-	-	-
113854	12	beat04	612	1836	612	1836	490
122824	13	beat03	561	1683	561	1683	673
131569	14	interval05	663	1887	663	2091	743
141200	15	interval01	459	1445	459	1309	551
149007	16	beat02	510	1530	510	1530	500
157171	17	beat05	663	1989	663	1989	530
166589	18	beat03	561	1683	561	1683	628
175289	19	beat01	459	1377	459	1377	551
183096	20	interval03	561	1717	561	1649	628
191796	21	interval05	663	1887	663	2091	796
201480	-	baseline	-	-	-	-	-
207480	22	beat05	663	1989	663	1989	743
217111	23	beat01	459	1377	459	1377	367
224734	24	interval02	510	1853	510	1207	520
232918	25	beat03	561	1683	561	1683	572
241562	26	beat04	612	1836	612	1836	600
250642	27	interval04	612	1513	612	2159	539
259661	28	interval03	561	1717	561	1649	673
268406	-	baseline	-	-	-	-	-
274406	29	interval04	612	1513	612	2159	490
283376	30	interval03	561	1717	561	1649	572
