onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	interval03	561	1853	561	1513
14568	2	beat05	663	1989	663	1989
23952	3	beat03	561	1683	561	1683
32520	4	interval04	612	1377	612	2295
41496	5	beat05	663	1989	663	1989
50880	-	baseline	-	-	-	-
56880	6	beat03	561	1683	561	1683
65448	7	interval05	663	1853	663	2125
74832	8	beat01	459	1377	459	1377
82584	9	beat03	561	1683	561	1683
91152	10	interval02	510	1819	510	1241
99312	11	interval03	561	1853	561	1513
107880	12	beat02	510	1530	510	1530
116040	13	interval01	459	1513	459	1241
123792	14	interval05	663	1853	663	2125
133176	-	baseline	-	-	-	-
139176	15	beat05	663	1989	663	1989
148560	16	beat01	459	1377	459	1377
156312	17	beat04	612	1836	612	1836
165288	-	baseline	-	-	-	-
171288	18	interval02	510	1819	510	1241
179448	19	interval04	612	1377	612	2295
188424	20	beat02	510	1530	510	1530
196584	-	baseline	-	-	-	-
202584	21	beat01	459	1377	459	1377
210336	22	interval01	459	1513	459	1241
218088	23	beat04	612	1836	612	1836
227064	-	baseline	-	-	-	-
233064	24	interval02	510	1819	510	1241
241224	25	interval04	612	1377	612	2295
250200	26	interval03	561	1853	561	1513
258768	27	beat04	612	1836	612	1836
267744	28	interval05	663	1853	663	2125
277128	29	interval01	459	1513	459	1241
284880	30	beat02	510	1530	510	1530
