onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
12000	1	interval04	612	1683	612	1989	612	beep_220hz
21588	2	random11	799	935	459	1479	459	beep_220hz
29799	3	interval05	663	1428	663	2550	663	beep_880hz
39846	-	baseline	-	-	-	-	-	-
45846	4	random07	1616	992	736	736	510	beep_220hz
54516	5	random18	663	1122	629	2074	561	beep_880hz
63645	6	beat04	612	1836	612	1836	612	beep_880hz
73233	7	random03	1547	848	1328	765	561	beep_220hz
82362	8	random06	578	595	1122	1377	459	beep_880hz
90573	9	interval03	561	1564	561	1802	561	beep_880hz
99702	10	beat02	510	1530	510	1530	510	beep_880hz
108372	11	beat04	612	1836	612	1836	612	beep_220hz
117960	-	baseline	-	-	-	-	-	-
123960	12	beat03	561	1683	561	1683	561	beep_220hz
133089	13	interval05	663	1428	663	2550	663	beep_220hz
143136	-	baseline	-	-	-	-	-	-
149136	14	beat03	561	1683	561	1683	561	beep_880hz
158265	15	random20	1632	1071	850	1751	663	beep_880hz
168312	16	random04	1648	704	1888	656	612	beep_880hz
177900	17	beat01	459	1377	459	1377	459	beep_880hz
186111	18	beat01	459	1377	459	1377	459	beep_220hz
194322	-	baseline	-	-	-	-	-	-
200322	19	beat02	510	1530	510	1530	510	beep_220hz
208992	20	beat05	663	1989	663	1989	663	beep_880hz
219039	21	interval01	459	1819	459	935	459	beep_880hz
227250	-	baseline	-	-	-	-	-	-
233250	22	random15	2601	748	748	1207	663	beep_220hz
243297	23	interval03	561	1564	561	1802	561	beep_220hz
252426	24	beat05	663	1989	663	1989	663	beep_220hz
262473	25	interval02	510	1921	510	1139	510	beep_220hz
271143	26	interval02	510	1921	510	1139	510	beep_880hz
279813	27	random09	672	2048	688	1488	612	beep_220hz
289401	28	interval01	459	1819	459	935	459	beep_220hz
297612	29	random12	816	629	765	1870	510	beep_880hz
306282	30	interval04	612	1683	612	1989	612	beep_880hz
