onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval04	612	1513	612	2159	600
12088	-	baseline	-	-	-	-	-
18088	2	interval05	663	1887	663	2091	796
27772	3	beat04	612	1836	612	1836	600
36852	4	beat01	459	1377	459	1377	367
44475	5	beat03	561	1683	561	1683	494
53041	6	interval03	561	1717	561	1649	494
61607	7	beat03	561	1683	561	1683	550
70229	8	interval03	561	1717	561	1649	628
78929	9	beat02	510	1530	510	1530	408
87001	-	baseline	-	-	-	-	-
93001	10	interval01	459	1445	459	1309	514
100771	11	beat05	663	1989	663	1989	530
110189	12	beat05	663	1989	663	1989	796
119873	13	beat03	561	1683	561	1683	628
128573	14	beat02	510	1530	510	1530	520
136757	15	interval02	510	1853	510	1207	500
144921	16	beat04	612	1836	612	1836	624
154025	17	beat01	459	1377	459	1377	514
161795	18	interval04	612	1513	612	2159	624
170899	19	interval05	663	1887	663	2091	583
180370	20	interval01	459	1445	459	1309	367
187993	-	baseline	-	-	-	-	-
193993	21	interval03	561	1717	561	1649	550
202615	22	beat05	663	1989	663	1989	583
212086	23	beat01	459	1377	459	1377	404
219746	24	interval05	663	1887	663	2091	530
229164	25	interval01	459	1445	459	1309	404
236824	-	baseline	-	-	-	-	-
242824	26	interval02	510	1853	510	1207	520
251008	27	beat04	612	1836	612	1836	734
260222	28	interval02	510	1853	510	1207	408
268294	-	baseline	-	-	-	-	-
274294	29	beat02	510	1530	510	1530	500
282458	30	interval04	612	1513	612	2159	734
