onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval02	510	1819	510	1241
10672	2	beat05	663	1989	663	1989
19560	3	interval01	459	1513	459	1241
26816	4	interval04	612	1377	612	2295
35296	5	beat04	612	1836	612	1836
43776	6	beat05	663	1989	663	1989
52664	7	interval01	459	1513	459	1241
59920	-	baseline	-	-	-	-
65920	8	beat04	612	1836	612	1836
74400	9	interval03	561	1853	561	1513
82472	10	interval04	612	1377	612	2295
90952	11	beat01	459	1377	459	1377
98208	-	baseline	-	-	-	-
104208	12	interval03	561	1853	561	1513
112280	13	beat02	510	1530	510	1530
119944	14	interval05	663	1853	663	2125
128832	15	beat01	459	1377	459	1377
136088	16	beat02	510	1530	510	1530
143752	17	interval05	663	1853	663	2125
152640	18	beat01	459	1377	459	1377
159896	19	beat02	510	1530	510	1530
167560	20	interval04	612	1377	612	2295
176040	-	baseline	-	-	-	-
182040	21	beat03	561	1683	561	1683
190112	22	interval02	510	1819	510	1241
197776	23	interval05	663	1853	663	2125
206664	24	beat05	663	1989	663	1989
215552	25	beat04	612	1836	612	1836
224032	-	baseline	-	-	-	-
230032	26	interval01	459	1513	459	1241
237288	27	beat03	561	1683	561	1683
245360	-	baseline	-	-	-	-
251360	28	interval02	510	1819	510	1241
259024	29	beat03	561	1683	561	1683
267096	30	interval03	561	1853	561	1513
