onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
12000	1	beat01	459	1377	459	1377	450
20202	2	interval01	459	1445	459	1309	468
28422	-	baseline	-	-	-	-	-
34422	3	interval04	612	1513	612	2159	539
43937	4	beat04	612	1836	612	1836	685
53598	-	baseline	-	-	-	-	-
59598	5	beat05	663	1989	663	1989	650
69632	6	interval03	561	1717	561	1649	673
78873	7	beat01	459	1377	459	1377	551
87176	8	interval01	459	1445	459	1309	450
95378	-	baseline	-	-	-	-	-
101378	9	beat03	561	1683	561	1683	449
110395	10	beat04	612	1836	612	1836	600
119971	11	beat03	561	1683	561	1683	673
129212	12	interval04	612	1513	612	2159	685
138873	13	beat05	663	1989	663	1989	796
149053	-	baseline	-	-	-	-	-
155053	14	beat05	663	1989	663	1989	530
164967	15	interval01	459	1445	459	1309	551
173270	16	beat02	510	1530	510	1530	408
181838	-	baseline	-	-	-	-	-
187838	17	interval02	510	1853	510	1207	449
196447	18	interval05	663	1887	663	2091	650
206481	19	interval05	663	1887	663	2091	796
216661	20	beat02	510	1530	510	1530	449
225270	21	interval05	663	1887	663	2091	530
235184	22	beat01	459	1377	459	1377	468
243404	23	beat03	561	1683	561	1683	572
252544	24	beat02	510	1530	510	1530	571
261275	25	interval03	561	1717	561	1649	572
270415	26	interval02	510	1853	510	1207	408
278983	27	beat04	612	1836	612	1836	539
288498	28	interval02	510	1853	510	1207	571
297229	29	interval04	612	1513	612	2159	600
306805	30	interval03	561	1717	561	1649	449
