onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat03	561	1683	561	1683
11080	2	interval04	612	1377	612	2295
19560	3	interval01	459	1513	459	1241
26816	4	beat03	561	1683	561	1683
34888	5	interval03	561	1853	561	1513
42960	-	baseline	-	-	-	-
48960	6	interval02	510	1819	510	1241
56624	7	beat01	459	1377	459	1377
63880	8	beat05	663	1989	663	1989
72768	9	interval03	561	1853	561	1513
80840	-	baseline	-	-	-	-
86840	10	interval04	612	1377	612	2295
95320	11	beat03	561	1683	561	1683
103392	-	baseline	-	-	-	-
109392	12	beat02	510	1530	510	1530
117056	13	interval05	663	1853	663	2125
125944	14	beat04	612	1836	612	1836
134424	15	beat01	459	1377	459	1377
141680	16	interval01	459	1513	459	1241
148936	17	beat02	510	1530	510	1530
156600	18	beat04	612	1836	612	1836
165080	-	baseline	-	-	-	-
171080	19	interval01	459	1513	459	1241
178336	20	interval03	561	1853	561	1513
186408	21	interval05	663	1853	663	2125
195296	22	beat02	510	1530	510	1530
202960	23	interval02	510	1819	510	1241
210624	-	baseline	-	-	-	-
216624	24	interval05	663	1853	663	2125
225512	25	interval04	612	1377	612	2295
233992	26	beat04	612	1836	612	1836
242472	27	beat05	663	1989	663	1989
251360	28	beat01	459	1377	459	1377
258616	29	interval02	510	1819	510	1241
266280	30	beat05	663	1989	663	1989
