onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat02	510	1530	510	1530
10672	2	beat01	459	1377	459	1377
17928	3	beat03	561	1683	561	1683
26000	4	interval02	510	1819	510	1241
33664	5	interval03	561	1853	561	1513
41736	6	interval05	663	1853	663	2125
50624	7	beat04	612	1836	612	1836
59104	8	beat05	663	1989	663	1989
67992	9	beat02	510	1530	510	1530
75656	-	baseline	-	-	-	-
81656	10	beat03	561	1683	561	1683
89728	11	beat01	459	1377	459	1377
96984	12	interval02	510	1819	510	1241
104648	13	beat02	510	1530	510	1530
112312	14	interval05	663	1853	663	2125
121200	15	beat05	663	1989	663	1989
130088	-	baseline	-	-	-	-
136088	16	interval04	612	1377	612	2295
144568	17	interval03	561	1853	561	1513
152640	18	beat03	561	1683	561	1683
160712	-	baseline	-	-	-	-
166712	19	interval05	663	1853	663	2125
175600	20	beat04	612	1836	612	1836
184080	21	interval02	510	1819	510	1241
191744	22	interval01	459	1513	459	1241
199000	23	beat04	612	1836	612	1836
207480	24	interval04	612	1377	612	2295
215960	25	interval01	459	1513	459	1241
223216	-	baseline	-	-	-	-
229216	26	beat01	459	1377	459	1377
236472	27	beat05	663	1989	663	1989
245360	28	interval03	561	1853	561	1513
253432	-	baseline	-	-	-	-
259432	29	interval04	612	1377	612	2295
267912	30	interval01	459	1513	459	1241
