onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	beat04	612	1836	612	1836
20976	2	interval03	561	1853	561	1513
29544	-	baseline	-	-	-	-
35544	3	interval02	510	1819	510	1241
43704	4	beat04	612	1836	612	1836
52680	5	beat05	663	1989	663	1989
62064	6	beat01	459	1377	459	1377
69816	7	interval02	510	1819	510	1241
77976	-	baseline	-	-	-	-
83976	8	beat02	510	1530	510	1530
92136	9	beat03	561	1683	561	1683
100704	-	baseline	-	-	-	-
106704	10	interval05	663	1853	663	2125
116088	11	interval03	561	1853	561	1513
124656	12	interval04	612	1377	612	2295
133632	13	beat03	561	1683	561	1683
142200	14	beat02	510	1530	510	1530
150360	15	interval04	612	1377	612	2295
159336	-	baseline	-	-	-	-
165336	16	interval01	459	1513	459	1241
173088	17	interval03	561	1853	561	1513
181656	18	interval05	663	1853	663	2125
191040	19	beat03	561	1683	561	1683
199608	20	interval02	510	1819	510	1241
207768	-	baseline	-	-	-	-
213768	21	beat02	510	1530	510	1530
221928	22	beat05	663	1989	663	1989
231312	23	beat01	459	1377	459	1377
239064	24	beat04	612	1836	612	1836
248040	25	interval01	459	1513	459	1241
255792	26	interval04	612	1377	612	2295
264768	27	beat01	459	1377	459	1377
272520	28	beat05	663	1989	663	1989
281904	29	interval05	663	1853	663	2125
291288	30	interval01	459	1513	459	1241
