onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	beat04	612	1836	612	1836
20976	2	beat02	510	1530	510	1530
29136	3	beat05	663	1989	663	1989
38520	-	baseline	-	-	-	-
44520	4	interval05	663	1853	663	2125
53904	5	interval04	612	1377	612	2295
62880	6	interval02	510	1819	510	1241
71040	7	beat05	663	1989	663	1989
80424	8	interval03	561	1853	561	1513
88992	9	beat03	561	1683	561	1683
97560	-	baseline	-	-	-	-
103560	10	interval03	561	1853	561	1513
112128	11	interval05	663	1853	663	2125
121512	12	beat03	561	1683	561	1683
130080	13	beat01	459	1377	459	1377
137832	-	baseline	-	-	-	-
143832	14	interval02	510	1819	510	1241
151992	15	beat02	510	1530	510	1530
160152	16	interval04	612	1377	612	2295
169128	17	interval05	663	1853	663	2125
178512	-	baseline	-	-	-	-
184512	18	beat02	510	1530	510	1530
192672	19	interval01	459	1513	459	1241
200424	20	interval03	561	1853	561	1513
208992	21	beat01	459	1377	459	1377
216744	22	beat04	612	1836	612	1836
225720	-	baseline	-	-	-	-
231720	23	interval01	459	1513	459	1241
239472	24	beat01	459	1377	459	1377
247224	25	beat04	612	1836	612	1836
256200	26	interval02	510	1819	510	1241
264360	27	interval04	612	1377	612	2295
273336	28	beat05	663	1989	663	1989
282720	29	interval01	459	1513	459	1241
290472	30	beat03	561	1683	561	1683
