onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval05	663	1853	663	2125
11896	-	baseline	-	-	-	-
17896	2	beat03	561	1683	561	1683
25968	3	beat01	459	1377	459	1377
33224	4	beat02	510	1530	510	1530
40888	5	interval01	459	1513	459	1241
48144	6	beat01	459	1377	459	1377
55400	-	baseline	-	-	-	-
61400	7	interval02	510	1819	510	1241
69064	8	beat05	663	1989	663	1989
77952	-	baseline	-	-	-	-
83952	9	interval01	459	1513	459	1241
91208	10	interval05	663	1853	663	2125
100096	11	beat02	510	1530	510	1530
107760	12	beat01	459	1377	459	1377
115016	13	interval03	561	1853	561	1513
123088	14	beat03	561	1683	561	1683
131160	15	beat02	510	1530	510	1530
138824	16	beat05	663	1989	663	1989
147712	17	interval04	612	1377	612	2295
156192	18	beat04	612	1836	612	1836
164672	-	baseline	-	-	-	-
170672	19	beat03	561	1683	561	1683
178744	20	interval03	561	1853	561	1513
186816	21	beat04	612	1836	612	1836
195296	22	beat05	663	1989	663	1989
204184	23	interval03	561	1853	561	1513
212256	-	baseline	-	-	-	-
218256	24	interval02	510	1819	510	1241
225920	25	interval05	663	1853	663	2125
234808	26	interval04	612	1377	612	2295
243288	27	beat04	612	1836	612	1836
251768	28	interval02	510	1819	510	1241
259432	29	interval01	459	1513	459	1241
266688	30	interval04	612	1377	612	2295
