onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat04	612	1836	612	1836
11488	2	beat02	510	1530	510	1530
19152	3	beat05	663	1989	663	1989
28040	4	interval01	459	1513	459	1241
35296	5	beat01	459	1377	459	1377
42552	6	interval03	561	1853	561	1513
50624	7	interval02	510	1819	510	1241
58288	8	interval05	663	1853	663	2125
67176	9	beat03	561	1683	561	1683
75248	10	beat02	510	1530	510	1530
82912	-	baseline	-	-	-	-
88912	11	beat05	663	1989	663	1989
97800	12	interval02	510	1819	510	1241
105464	-	baseline	-	-	-	-
111464	13	interval04	612	1377	612	2295
119944	14	interval05	663	1853	663	2125
128832	15	interval03	561	1853	561	1513
136904	16	interval02	510	1819	510	1241
144568	17	beat01	459	1377	459	1377
151824	18	interval05	663	1853	663	2125
160712	-	baseline	-	-	-	-
166712	19	interval04	612	1377	612	2295
175192	20	beat03	561	1683	561	1683
183264	21	interval03	561	1853	561	1513
191336	22	beat04	612	1836	612	1836
199816	23	beat05	663	1989	663	1989
208704	24	interval01	459	1513	459	1241
215960	25	interval04	612	1377	612	2295
224440	-	baseline	-	-	-	-
230440	26	beat03	561	1683	561	1683
238512	27	interval01	459	1513	459	1241
245768	28	beat01	459	1377	459	1377
253024	-	baseline	-	-	-	-
259024	29	beat04	612	1836	612	1836
267504	30	beat02	510	1530	510	1530
