onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	beat03	561	1683	561	1683
11080	2	beat02	510	1530	510	1530
18744	3	interval01	459	1513	459	1241
26000	4	beat05	663	1989	663	1989
34888	-	baseline	-	-	-	-
40888	5	interval01	459	1513	459	1241
48144	6	beat05	663	1989	663	1989
57032	-	baseline	-	-	-	-
63032	7	beat03	561	1683	561	1683
71104	8	interval01	459	1513	459	1241
78360	9	beat01	459	1377	459	1377
85616	10	beat04	612	1836	612	1836
94096	11	interval05	663	1853	663	2125
102984	12	interval04	612	1377	612	2295
111464	-	baseline	-	-	-	-
117464	13	beat04	612	1836	612	1836
125944	14	interval05	663	1853	663	2125
134832	15	interval03	561	1853	561	1513
142904	16	beat01	459	1377	459	1377
150160	17	beat05	663	1989	663	1989
159048	18	interval02	510	1819	510	1241
166712	19	interval04	612	1377	612	2295
175192	20	beat02	510	1530	510	1530
182856	-	baseline	-	-	-	-
188856	21	beat01	459	1377	459	1377
196112	22	beat02	510	1530	510	1530
203776	23	interval03	561	1853	561	1513
211848	24	interval02	510	1819	510	1241
219512	25	interval05	663	1853	663	2125
228400	26	interval04	612	1377	612	2295
236880	-	baseline	-	-	-	-
242880	27	interval02	510	1819	510	1241
250544	28	beat03	561	1683	561	1683
258616	29	beat04	612	1836	612	1836
267096	30	interval03	561	1853	561	1513
