onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	interval05	663	1700	663	2278	663	circle
16047	2	interval05	663	1700	663	2278	663	triangle
26094	3	interval01	459	1734	459	1020	459	triangle
34305	4	beat02	510	1530	510	1530	510	triangle
42975	5	beat04	612	1836	612	1836	612	circle
52563	-	baseline	-	-	-	-	-	-
58563	6	beat04	612	1836	612	1836	612	triangle
68151	7	interval02	510	1377	510	1683	510	triangle
76821	8	beat04	612	1836	612	1836	612	circle
86409	9	beat05	663	1989	663	1989	663	triangle
96456	10	beat02	510	1530	510	1530	510	circle
105126	11	beat05	663	1989	663	1989	663	circle
115173	-	baseline	-	-	-	-	-	-
121173	12	beat01	459	1377	459	1377	459	triangle
129384	13	beat01	459	1377	459	1377	459	circle
137595	-	baseline	-	-	-	-	-	-
143595	14	interval02	510	1377	510	1683	510	circle
152265	15	beat03	561	1683	561	1683	561	triangle
161394	16	interval03	561	1717	561	1649	561	triangle
170523	17	interval04	612	1887	612	1785	612	circle
180111	18	beat01	459	1377	459	1377	459	circle
188322	19	interval01	459	1734	459	1020	459	circle
196533	20	interval04	612	1887	612	1785	612	triangle
206121	-	baseline	-	-	-	-	-	-
212121	21	interval02	510	1377	510	1683	510	triangle
220791	22	beat03	561	1683	561	1683	561	circle
229920	23	interval04	612	1887	612	1785	612	circle
239508	24	beat03	561	1683	561	1683	561	triangle
248637	25	beat05	663	1989	663	1989	663	triangle
258684	26	interval01	459	1734	459	1020	459	circle
266895	27	beat02	510	1530	510	1530	510	triangle
275565	28	interval03	561	1717	561	1649	561	triangle
284694	-	baseline	-	-	-	-	-	-
290694	29	interval05	663	1700	663	2278	663	triangle
300741	30	interval03	561	1717	561	1649	561	circle
