onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval02	510	1819	510	1241
10672	2	interval05	663	1853	663	2125
19560	3	beat05	663	1989	663	1989
28448	4	beat01	459	1377	459	1377
35704	5	beat02	510	1530	510	1530
43368	-	baseline	-	-	-	-
49368	6	interval04	612	1377	612	2295
57848	7	beat03	561	1683	561	1683
65920	8	beat04	612	1836	612	1836
74400	9	interval04	612	1377	612	2295
82880	10	interval01	459	1513	459	1241
90136	-	baseline	-	-	-	-
96136	11	interval05	663	1853	663	2125
105024	12	beat04	612	1836	612	1836
113504	13	interval03	561	1853	561	1513
121576	-	baseline	-	-	-	-
127576	14	beat05	663	1989	663	1989
136464	15	interval03	561	1853	561	1513
144536	16	beat02	510	1530	510	1530
152200	17	beat01	459	1377	459	1377
159456	18	interval02	510	1819	510	1241
167120	-	baseline	-	-	-	-
173120	19	beat04	612	1836	612	1836
181600	20	interval01	459	1513	459	1241
188856	21	beat05	663	1989	663	1989
197744	22	interval05	663	1853	663	2125
206632	23	interval03	561	1853	561	1513
214704	24	beat03	561	1683	561	1683
222776	25	interval02	510	1819	510	1241
230440	-	baseline	-	-	-	-
236440	26	interval01	459	1513	459	1241
243696	27	beat02	510	1530	510	1530
251360	28	interval04	612	1377	612	2295
259840	29	beat03	561	1683	561	1683
267912	30	beat01	459	1377	459	1377
