onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	interval02	510	1819	510	1241
20160	2	beat03	561	1683	561	1683
28728	3	interval01	459	1513	459	1241
36480	4	beat05	663	1989	663	1989
45864	5	interval02	510	1819	510	1241
54024	6	beat01	459	1377	459	1377
61776	7	interval05	663	1853	663	2125
71160	-	baseline	-	-	-	-
77160	8	beat01	459	1377	459	1377
84912	9	interval04	612	1377	612	2295
93888	10	beat05	663	1989	663	1989
103272	11	beat04	612	1836	612	1836
112248	12	beat02	510	1530	510	1530
120408	-	baseline	-	-	-	-
126408	13	beat01	459	1377	459	1377
134160	14	interval02	510	1819	510	1241
142320	15	interval05	663	1853	663	2125
151704	16	beat04	612	1836	612	1836
160680	-	baseline	-	-	-	-
166680	17	interval03	561	1853	561	1513
175248	18	interval04	612	1377	612	2295
184224	19	beat03	561	1683	561	1683
192792	20	interval01	459	1513	459	1241
200544	-	baseline	-	-	-	-
206544	21	interval05	663	1853	663	2125
215928	22	interval01	459	1513	459	1241
223680	-	baseline	-	-	-	-
229680	23	interval03	561	1853	561	1513
238248	24	beat03	561	1683	561	1683
246816	25	interval04	612	1377	612	2295
255792	26	beat02	510	1530	510	1530
263952	27	beat05	663	1989	663	1989
273336	28	interval03	561	1853	561	1513
281904	29	beat02	510	1530	510	1530
290064	30	beat04	612	1836	612	1836
