onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	interval05	663	1887	663	2091	796
16180	2	interval02	510	1853	510	1207	449
24789	3	beat02	510	1530	510	1530	571
33520	4	beat05	663	1989	663	1989	676
43580	5	beat03	561	1683	561	1683	449
52597	6	beat04	612	1836	612	1836	539
62112	-	baseline	-	-	-	-	-
68112	7	interval03	561	1717	561	1649	494
77174	8	interval03	561	1717	561	1649	628
86370	9	interval01	459	1445	459	1309	551
94673	10	interval01	459	1445	459	1309	468
102893	11	interval02	510	1853	510	1207	571
111624	12	interval04	612	1513	612	2159	600
121200	13	beat03	561	1683	561	1683	628
130396	14	beat05	663	1989	663	1989	796
140576	-	baseline	-	-	-	-	-
146576	15	interval05	663	1887	663	2091	676
156636	16	interval01	459	1445	459	1309	514
164902	17	beat01	459	1377	459	1377	514
173168	18	beat04	612	1836	612	1836	734
182878	19	beat05	663	1989	663	1989	530
192792	-	baseline	-	-	-	-	-
198792	20	interval03	561	1717	561	1649	449
207809	21	beat01	459	1377	459	1377	551
216112	22	interval02	510	1853	510	1207	500
224772	23	beat02	510	1530	510	1530	500
233432	24	beat03	561	1683	561	1683	494
242494	-	baseline	-	-	-	-	-
248494	25	beat02	510	1530	510	1530	449
257103	26	interval04	612	1513	612	2159	734
266813	27	beat01	459	1377	459	1377	468
275033	-	baseline	-	-	-	-	-
281033	28	interval05	663	1887	663	2091	530
290947	29	beat04	612	1836	612	1836	600
300523	30	interval04	612	1513	612	2159	539
