onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	interval02	510	1377	510	1683	510	circle
11182	2	beat01	459	1377	459	1377	459	triangle
18897	3	interval03	561	1938	561	1428	561	circle
27530	4	interval05	663	1513	663	2465	663	triangle
37081	5	beat03	561	1683	561	1683	561	circle
45714	6	beat04	612	1836	612	1836	612	triangle
54806	-	baseline	-	-	-	-	-	-
60806	7	interval02	510	1377	510	1683	510	circle
68980	8	beat05	663	1989	663	1989	663	triangle
78531	-	baseline	-	-	-	-	-	-
84531	9	interval01	459	1904	459	850	459	triangle
92246	10	beat05	663	1989	663	1989	663	circle
101797	11	interval01	459	1904	459	850	459	circle
109512	12	interval05	663	1513	663	2465	663	circle
119063	13	beat01	459	1377	459	1377	459	circle
126778	-	baseline	-	-	-	-	-	-
132778	14	beat02	510	1530	510	1530	510	triangle
140952	15	beat03	561	1683	561	1683	561	triangle
149585	16	beat02	510	1530	510	1530	510	circle
157759	-	baseline	-	-	-	-	-	-
163759	17	interval01	459	1904	459	850	459	circle
171474	18	beat01	459	1377	459	1377	459	circle
179189	19	beat02	510	1530	510	1530	510	circle
187363	20	interval03	561	1938	561	1428	561	triangle
195996	-	baseline	-	-	-	-	-	-
201996	21	interval05	663	1513	663	2465	663	circle
211547	22	interval04	612	1683	612	1989	612	triangle
220639	23	interval03	561	1938	561	1428	561	triangle
229272	24	beat04	612	1836	612	1836	612	circle
238364	25	beat03	561	1683	561	1683	561	triangle
246997	26	beat05	663	1989	663	1989	663	circle
256548	27	interval02	510	1377	510	1683	510	triangle
264722	28	interval04	612	1683	612	1989	612	circle
273814	29	beat04	612	1836	612	1836	612	triangle
282906	30	interval04	612	1683	612	1989	612	triangle
